beta_e_phys,gamma_exch_phys,gamma_drain_phys,D_over_H,Y_p,Li7_over_H,Be7_over_H,Li_total_over_H,screening_eff,capture_eff,beta_response_ok,exchange_response_ok,drain_response_ok,chi_D,chi_Y,chi_Li7,chi_Li_total,passes_D,passes_Y,Li7_OK,Li_total_OK,A7_flipped,ACCEPTED,chi_sum
0.7,0.2,0.55,2.5307905000000002e-05,0.24330000000000002,7.236144578313252e-11,0.0,7.236144578313252e-11,0.94,0.91,True,True,True,0.12635000000000712,0.07499999999999868,2.8819277108433736,2.8819277108433736,True,True,False,False,True,False,5.965205421686753
0.7,0.2,0.6,2.5307905000000002e-05,0.24330000000000002,6.983720930232558e-11,0.0,6.983720930232558e-11,0.94,0.91,True,True,True,0.12635000000000712,0.07499999999999868,3.0081395348837208,3.0081395348837208,True,True,False,False,True,False,6.2176290697674474
0.7,0.2,0.65,2.5307905000000002e-05,0.24330000000000002,6.748314606741573e-11,0.0,6.748314606741573e-11,0.94,0.91,True,True,True,0.12635000000000712,0.07499999999999868,3.1258426966292134,3.1258426966292134,True,True,False,False,True,False,6.453035393258433
0.7,0.2,0.7,2.5307905000000002e-05,0.24330000000000002,6.528260869565217e-11,0.0,6.528260869565217e-11,0.94,0.91,True,True,True,0.12635000000000712,0.07499999999999868,3.235869565217391,3.235869565217391,True,True,False,False,True,False,6.673089130434788
0.7,0.3,0.0,2.5307905000000002e-05,0.24330000000000002,1.3013e-10,0.0,1.3013e-10,0.94,0.91,True,True,True,0.12635000000000712,0.07499999999999868,0.0065000000000001844,0.0065000000000001844,True,True,True,True,True,True,0.21435000000000615
0.7,0.3,0.05,2.5307905000000002e-05,0.24330000000000002,1.227641509433962e-10,0.0,1.227641509433962e-10,0.94,0.91,True,True,True,0.12635000000000712,0.07499999999999868,0.3617924528301891,0.3617924528301891,True,True,True,True,True,True,0.924934905660384
0.7,0.3,0.1,2.5307905000000002e-05,0.24330000000000002,1.1618749999999998e-10,0.0,1.1618749999999998e-10,0.94,0.91,True,True,True,0.12635000000000712,0.07499999999999868,0.6906250000000006,0.6906250000000006,True,True,True,True,True,True,1.582600000000007
0.7,0.3,0.15,2.5307905000000002e-05,0.24330000000000002,1.1027966101694915e-10,0.0,1.1027966101694915e-10,0.94,0.91,True,True,True,0.12635000000000712,0.07499999999999868,0.9860169491525422,0.9860169491525422,True,True,True,True,True,True,2.17338389830509
0.7,0.3,0.2,2.5307905000000002e-05,0.24330000000000002,1.0494354838709677e-10,0.0,1.0494354838709677e-10,0.94,0.91,True,True,True,0.12635000000000712,0.07499999999999868,1.2528225806451614,1.2528225806451614,True,True,False,False,True,False,2.7069951612903287
0.7,0.3,0.25,2.5307905000000002e-05,0.24330000000000002,1.001e-10,0.0,1.001e-10,0.94,0.91,True,True,True,0.12635000000000712,0.07499999999999868,1.4949999999999999,1.4949999999999999,True,True,False,False,True,False,3.1913500000000052
0.7,0.3,0.3,2.5307905000000002e-05,0.24330000000000002,9.568382352941176e-11,0.0,9.568382352941176e-11,0.94,0.91,True,True,True,0.12635000000000712,0.07499999999999868,1.7158088235294116,1.7158088235294116,True,True,False,False,True,False,3.6329676470588286
0.7,0.3,0.35,2.5307905000000002e-05,0.24330000000000002,9.164084507042253e-11,0.0,9.164084507042253e-11,0.94,0.91,True,True,True,0.12635000000000712,0.07499999999999868,1.9179577464788728,1.9179577464788728,True,True,False,False,True,False,4.037265492957752
0.7,0.3,0.4,2.5307905000000002e-05,0.24330000000000002,8.792567567567568e-11,0.0,8.792567567567568e-11,0.94,0.91,True,True,True,0.12635000000000712,0.07499999999999868,2.103716216216216,2.103716216216216,True,True,False,False,True,False,4.408782432432438
0.7,0.3,0.45,2.5307905000000002e-05,0.24330000000000002,8.449999999999999e-11,0.0,8.449999999999999e-11,0.94,0.91,True,True,True,0.12635000000000712,0.07499999999999868,2.275,2.275,True,True,False,False,True,False,4.751350000000006
0.7,0.3,0.5,2.5307905000000002e-05,0.24330000000000002,8.133124999999999e-11,0.0,8.133124999999999e-11,0.94,0.91,True,True,True,0.12635000000000712,0.07499999999999868,2.4334375,2.4334375,True,True,False,False,True,False,5.068225000000006
0.7,0.3,0.55,2.5307905000000002e-05,0.24330000000000002,7.839156626506023e-11,0.0,7.839156626506023e-11,0.94,0.91,True,True,True,0.12635000000000712,0.07499999999999868,2.580421686746988,2.580421686746988,True,True,False,False,True,False,5.362193373493982
0.7,0.3,0.6,2.5307905000000002e-05,0.24330000000000002,7.565697674418604e-11,0.0,7.565697674418604e-11,0.94,0.91,True,True,True,0.12635000000000712,0.07499999999999868,2.7171511627906977,2.7171511627906977,True,True,False,False,True,False,5.635652325581401
0.7,0.3,0.65,2.5307905000000002e-05,0.24330000000000002,7.31067415730337e-11,0.0,7.31067415730337e-11,0.94,0.91,True,True,True,0.12635000000000712,0.07499999999999868,2.8446629213483146,2.8446629213483146,True,True,False,False,True,False,5.890675842696635
0.7,0.3,0.7,2.5307905000000002e-05,0.24330000000000002,7.072282608695653e-11,0.0,7.072282608695653e-11,0.94,0.91,True,True,True,0.12635000000000712,0.07499999999999868,2.9638586956521733,2.9638586956521733,True,True,False,False,True,False,6.1290673913043525
0.7,0.4,0.0,2.5307905000000002e-05,0.24330000000000002,1.4014e-10,0.0,1.4014e-10,0.94,0.91,True,True,True,0.12635000000000712,0.07499999999999868,0.5070000000000002,0.5070000000000002,True,True,True,True,True,True,1.2153500000000061
0.7,0.4,0.05,2.5307905000000002e-05,0.24330000000000002,1.322075471698113e-10,0.0,1.322075471698113e-10,0.94,0.91,True,True,True,0.12635000000000712,0.07499999999999868,0.11037735849056554,0.11037735849056554,True,True,True,True,True,True,0.42210471698113683
0.7,0.4,0.1,2.5307905000000002e-05,0.24330000000000002,1.25125e-10,0.0,1.25125e-10,0.94,0.91,True,True,True,0.12635000000000712,0.07499999999999868,0.24374999999999983,0.24374999999999983,True,True,True,True,True,True,0.6888500000000054
0.7,0.4,0.15,2.5307905000000002e-05,0.24330000000000002,1.1876271186440677e-10,0.0,1.1876271186440677e-10,0.94,0.91,True,True,True,0.12635000000000712,0.07499999999999868,0.561864406779661,0.561864406779661,True,True,True,True,True,True,1.3250788135593279
0.7,0.4,0.2,2.5307905000000002e-05,0.24330000000000002,1.1301612903225806e-10,0.0,1.1301612903225806e-10,0.94,0.91,True,True,True,0.12635000000000712,0.07499999999999868,0.8491935483870965,0.8491935483870965,True,True,True,True,True,True,1.8997370967741987
0.7,0.4,0.25,2.5307905000000002e-05,0.24330000000000002,1.0779999999999999e-10,0.0,1.0779999999999999e-10,0.94,0.91,True,True,True,0.12635000000000712,0.07499999999999868,1.1099999999999999,1.1099999999999999,True,True,False,False,True,False,2.4213500000000057
0.7,0.4,0.3,2.5307905000000002e-05,0.24330000000000002,1.0304411764705883e-10,0.0,1.0304411764705883e-10,0.94,0.91,True,True,True,0.12635000000000712,0.07499999999999868,1.3477941176470578,1.3477941176470578,True,True,False,False,True,False,2.8969382352941215
0.7,0.4,0.35,2.5307905000000002e-05,0.24330000000000002,9.869014084507042e-11,0.0,9.869014084507042e-11,0.94,0.91,True,True,True,0.12635000000000712,0.07499999999999868,1.5654929577464785,1.5654929577464785,True,True,False,False,True,False,3.332335915492963
0.7,0.4,0.4,2.5307905000000002e-05,0.24330000000000002,9.468918918918918e-11,0.0,9.468918918918918e-11,0.94,0.91,True,True,True,0.12635000000000712,0.07499999999999868,1.7655405405405404,1.7655405405405404,True,True,False,False,True,False,3.732431081081087
0.7,0.4,0.45,2.5307905000000002e-05,0.24330000000000002,9.1e-11,0.0,9.1e-11,0.94,0.91,True,True,True,0.12635000000000712,0.07499999999999868,1.95,1.95,True,True,False,False,True,False,4.101350000000005
0.7,0.4,0.5,2.5307905000000002e-05,0.24330000000000002,8.75875e-11,0.0,8.75875e-11,0.94,0.91,True,True,True,0.12635000000000712,0.07499999999999868,2.120625,2.120625,True,True,False,False,True,False,4.442600000000006
0.7,0.4,0.55,2.5307905000000002e-05,0.24330000000000002,8.442168674698794e-11,0.0,8.442168674698794e-11,0.94,0.91,True,True,True,0.12635000000000712,0.07499999999999868,2.2789156626506024,2.2789156626506024,True,True,False,False,True,False,4.759181325301211
0.7,0.4,0.6,2.5307905000000002e-05,0.24330000000000002,8.147674418604651e-11,0.0,8.147674418604651e-11,0.94,0.91,True,True,True,0.12635000000000712,0.07499999999999868,2.426162790697674,2.426162790697674,True,True,False,False,True,False,5.053675581395354
0.7,0.4,0.65,2.5307905000000002e-05,0.24330000000000002,7.873033707865168e-11,0.0,7.873033707865168e-11,0.94,0.91,True,True,True,0.12635000000000712,0.07499999999999868,2.5634831460674157,2.5634831460674157,True,True,False,False,True,False,5.328316292134837
0.7,0.4,0.7,2.5307905000000002e-05,0.24330000000000002,7.616304347826087e-11,0.0,7.616304347826087e-11,0.94,0.91,True,True,True,0.12635000000000712,0.07499999999999868,2.6918478260869563,2.6918478260869563,True,True,False,False,True,False,5.5850456521739185
