beta_e_phys,gamma_exch_phys,gamma_drain_phys,D_over_H,Y_p,Li7_over_H,Be7_over_H,Li_total_over_H,screening_eff,capture_eff,beta_response_ok,exchange_response_ok,drain_response_ok,chi_D,chi_Y,chi_Li7,chi_Li_total,passes_D,passes_Y,Li7_OK,Li_total_OK,A7_flipped,ACCEPTED,chi_sum
0.98,1.08,0.65,2.5272527e-05,0.24358000000000002,1.2776808988764045e-10,0.0,1.2776808988764045e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.11159550561797707,0.11159550561797707,True,True,True,True,True,True,0.23661434456928299
0.98,1.08,0.66,2.5272527e-05,0.24358000000000002,1.269125e-10,0.0,1.269125e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.15437499999999954,0.15437499999999954,True,True,True,True,True,True,0.3221733333333279
0.98,1.08,0.67,2.5272527e-05,0.24358000000000002,1.2606829268292683e-10,0.0,1.2606829268292683e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.19658536585365782,0.19658536585365782,True,True,True,True,True,True,0.4065940650406445
0.98,1.08,0.68,2.5272527e-05,0.24358000000000002,1.252352422907489e-10,0.0,1.252352422907489e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.23823788546255464,0.23823788546255464,True,True,True,True,True,True,0.48989910425843813
0.98,1.08,0.69,2.5272527e-05,0.24358000000000002,1.2441312910284464e-10,0.0,1.2441312910284464e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.27934354485776774,0.27934354485776774,True,True,True,True,True,True,0.5721104230488643
0.98,1.08,0.7,2.5272527e-05,0.24358000000000002,1.236017391304348e-10,0.0,1.236017391304348e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.3199130434782597,0.3199130434782597,True,True,True,True,True,True,0.6532494202898482
0.98,1.09,0.6,2.5272527e-05,0.24358000000000002,1.3286081395348834e-10,0.0,1.3286081395348834e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.14304069767441766,0.14304069767441766,True,True,True,True,True,True,0.29950472868216416
0.98,1.09,0.61,2.5272527e-05,0.24358000000000002,1.3194030023094687e-10,0.0,1.3194030023094687e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.09701501154734381,0.09701501154734381,True,True,True,True,True,True,0.2074533564280165
0.98,1.09,0.62,2.5272527e-05,0.24358000000000002,1.3103245412844033e-10,0.0,1.3103245412844033e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.05162270642201718,0.05162270642201718,True,True,True,True,True,True,0.11666874617736323
0.98,1.09,0.63,2.5272527e-05,0.24358000000000002,1.3013701594533028e-10,0.0,1.3013701594533028e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.006850797266514229,0.006850797266514229,True,True,True,True,True,True,0.027124927866357316
0.98,1.09,0.64,2.5272527e-05,0.24358000000000002,1.292537330316742e-10,0.0,1.292537330316742e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.03731334841629006,0.03731334841629006,True,True,True,True,True,True,0.08805003016590898
0.98,1.09,0.65,2.5272527e-05,0.24358000000000002,1.2838235955056177e-10,0.0,1.2838235955056177e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.08088202247191091,0.08088202247191091,True,True,True,True,True,True,0.1751873782771507
0.98,1.09,0.66,2.5272527e-05,0.24358000000000002,1.2752265624999998e-10,0.0,1.2752265624999998e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.12386718750000036,0.12386718750000036,True,True,True,True,True,True,0.2611577083333296
0.98,1.09,0.67,2.5272527e-05,0.24358000000000002,1.2667439024390243e-10,0.0,1.2667439024390243e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.16628048780487828,0.16628048780487828,True,True,True,True,True,True,0.3459843089430854
0.98,1.09,0.68,2.5272527e-05,0.24358000000000002,1.2583733480176208e-10,0.0,1.2583733480176208e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.20813325991189568,0.20813325991189568,True,True,True,True,True,True,0.4296898531571202
0.98,1.09,0.69,2.5272527e-05,0.24358000000000002,1.250112691466083e-10,0.0,1.250112691466083e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.2494365426695848,0.2494365426695848,True,True,True,True,True,True,0.5122964186724984
0.98,1.09,0.7,2.5272527e-05,0.24358000000000002,1.2419597826086957e-10,0.0,1.2419597826086957e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.2902010869565213,0.2902010869565213,True,True,True,True,True,True,0.5938255072463714
0.98,1.1,0.6,2.5272527e-05,0.24358000000000002,1.3349651162790697e-10,0.0,1.3349651162790697e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.17482558139534918,0.17482558139534918,True,True,True,True,True,True,0.3630744961240272
0.98,1.1,0.61,2.5272527e-05,0.24358000000000002,1.325715935334873e-10,0.0,1.325715935334873e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.12857967667436493,0.12857967667436493,True,True,True,True,True,True,0.2705826866820587
0.98,1.1,0.62,2.5272527e-05,0.24358000000000002,1.3165940366972478e-10,0.0,1.3165940366972478e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.0829701834862394,0.0829701834862394,True,True,True,True,True,True,0.17936370030580767
0.98,1.1,0.63,2.5272527e-05,0.24358000000000002,1.3075968109339408e-10,0.0,1.3075968109339408e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.03798405466970448,0.03798405466970448,True,True,True,True,True,True,0.08939144267273783
