beta_e_phys,gamma_exch_phys,gamma_drain_phys,B_eff,E_ind,em_scale,be7_scale,D_over_H,Y_p,Li7_over_H,Be7_over_H,Li_total_over_H,screening_eff,capture_eff,beta_response_ok,exchange_response_ok,drain_response_ok,chi_D,chi_Y,chi_Li7,chi_Li_total,passes_D,passes_Y,passes_Li7,passes_Li_total,passes_all,chi_sum,em_softness
0.96,1.13,0.6,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.2166599627906977e-10,0.0,1.2166599627906977e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.4167001860465111,0.4167001860465111,True,True,True,True,True,1.1642975067596923,0.5555555555555556
0.96,1.13,0.62,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.1999169357798163e-10,0.0,1.1999169357798163e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.5004153211009181,0.5004153211009181,True,True,True,True,True,1.3317277768685063,0.5555555555555556
0.96,1.13,0.64,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.1836284705882352e-10,0.0,1.1836284705882352e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.5818576470588238,0.5818576470588238,True,True,True,True,True,1.4946124287843179,0.5555555555555556
0.96,1.13,0.66,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.1677763035714283e-10,0.0,1.1677763035714283e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.6611184821428582,0.6611184821428582,True,True,True,True,True,1.6531340989523864,0.5555555555555556
0.96,1.13,0.68,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.1523431365638766e-10,0.0,1.1523431365638766e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.7382843171806167,0.7382843171806167,True,True,True,True,True,1.8074657690279037,0.5555555555555556
0.96,1.13,0.7,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.1373125739130434e-10,0.0,1.1373125739130434e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.8134371304347825,0.8134371304347825,True,True,True,True,True,1.957771395536235,0.5555555555555556
0.96,1.13,0.72,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.1226690643776823e-10,0.0,1.1226690643776823e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.8866546781115882,0.8866546781115882,True,True,True,True,True,2.1042064908898466,0.5555555555555556
0.96,1.15,0.56,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.2633399999999997e-10,0.0,1.2633399999999997e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.18330000000000082,0.18330000000000082,True,True,True,True,True,0.6974971346666717,0.5555555555555556
0.96,1.15,0.58,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.2454625471698112e-10,0.0,1.2454625471698112e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.2726872641509433,0.2726872641509433,True,True,True,True,True,0.8762716629685567,0.5555555555555556
0.96,1.15,0.6,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.2280839999999997e-10,0.0,1.2280839999999997e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.3595800000000011,0.3595800000000011,True,True,True,True,True,1.0500571346666723,0.5555555555555556
0.96,1.15,0.62,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.2111837614678897e-10,0.0,1.2111837614678897e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.44408119266055085,0.44408119266055085,True,True,True,True,True,1.2190595199877718,0.5555555555555556
0.96,1.15,0.64,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.1947423529411764e-10,0.0,1.1947423529411764e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.5262882352941178,0.5262882352941178,True,True,True,True,True,1.3834736052549057,0.5555555555555556
0.96,1.15,0.66,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.178741339285714e-10,0.0,1.178741339285714e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.6062933035714295,0.6062933035714295,True,True,True,True,True,1.543483741809529,0.5555555555555556
0.96,1.15,0.68,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.1631632599118942e-10,0.0,1.1631632599118942e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.6841837004405287,0.6841837004405287,True,True,True,True,True,1.6992645355477274,0.5555555555555556
0.96,1.15,0.7,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.1479915652173913e-10,0.0,1.1479915652173913e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.7600421739130432,0.7600421739130432,True,True,True,True,True,1.8509814824927566,0.5555555555555556
0.96,1.15,0.72,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.1332105579399141e-10,0.0,1.1332105579399141e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.8339472103004291,0.8339472103004291,True,True,True,True,True,1.9987915552675284,0.5555555555555556
0.97,1.03,0.56,0.4,0.2,0.904,0.872,2.5339502355300007e-05,0.24399,1.196449947368421e-10,0.0,1.196449947368421e-10,1.005928,0.994964,True,True,True,0.23167451766668826,0.09750000000000036,0.517750263157894,0.517750263157894,True,True,True,True,True,1.3646750439824764,0.5555555555555556
0.97,1.03,0.58,0.4,0.2,0.904,0.872,2.5339502355300007e-05,0.24399,1.1795190518867928e-10,0.0,1.1795190518867928e-10,1.005928,0.994964,True,True,True,0.23167451766668826,0.09750000000000036,0.6024047405660358,0.6024047405660358,True,True,True,True,True,1.5339839987987602,0.5555555555555556
