beta_e_phys,gamma_exch_phys,gamma_drain_phys,B_eff,E_ind,em_scale,be7_scale,D_over_H,Y_p,Li7_over_H,Be7_over_H,Li_total_over_H,screening_eff,capture_eff,beta_response_ok,exchange_response_ok,drain_response_ok,chi_D,chi_Y,chi_Li7,chi_Li_total,passes_D,passes_Y,passes_Li7,passes_Li_total,passes_all,chi_sum,em_softness
0.96,1.13,0.72,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.1822798111587982e-10,0.0,1.1822798111587982e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.5886009442060088,0.5886009442060088,True,True,True,True,True,1.3460737890786785,0.7142857142857142
0.96,1.15,0.56,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.3304199999999995e-10,0.0,1.3304199999999995e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.15209999999999813,0.15209999999999813,True,True,True,True,True,0.4730719006666571,0.7142857142857142
0.96,1.15,0.58,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.311593301886792e-10,0.0,1.311593301886792e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.057966509433960645,0.057966509433960645,True,True,True,True,True,0.28480491953458215,0.7142857142857142
0.96,1.15,0.6,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.2932919999999996e-10,0.0,1.2932919999999996e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.033540000000001575,0.033540000000001575,True,True,True,True,True,0.235951900666664,0.7142857142857142
0.96,1.15,0.62,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.2754944036697245e-10,0.0,1.2754944036697245e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.12252798165137702,0.12252798165137702,True,True,True,True,True,0.4139278639694149,0.7142857142857142
0.96,1.15,0.64,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.2581799999999997e-10,0.0,1.2581799999999997e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.20910000000000112,0.20910000000000112,True,True,True,True,True,0.5870719006666631,0.7142857142857142
0.96,1.15,0.66,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.2413293749999997e-10,0.0,1.2413293749999997e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.2933531250000011,0.2933531250000011,True,True,True,True,True,0.755578150666663,0.7142857142857142
0.96,1.15,0.68,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.2249241409691627e-10,0.0,1.2249241409691627e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.3753792951541859,0.3753792951541859,True,True,True,True,True,0.9196304909750326,0.7142857142857142
0.96,1.15,0.7,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.2089468695652171e-10,0.0,1.2089468695652171e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.4552656521739139,0.4552656521739139,True,True,True,True,True,1.0794032050144886,0.7142857142857142
0.96,1.15,0.72,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.1933810300429182e-10,0.0,1.1933810300429182e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.5330948497854084,0.5330948497854084,True,True,True,True,True,1.2350616002374777,0.7142857142857142
0.97,1.03,0.56,0.2,0.1,0.952,0.9359999999999999,2.5306646427650003e-05,0.24378,1.2599782631578946e-10,0.0,1.2599782631578946e-10,0.999964,0.992982,True,True,True,0.12215475883334222,0.04499999999999643,0.2001086842105264,0.2001086842105264,True,True,True,True,True,0.5673721272543915,0.7142857142857142
0.97,1.03,0.58,0.2,0.1,0.952,0.9359999999999999,2.5306646427650003e-05,0.24378,1.2421483820754718e-10,0.0,1.2421483820754718e-10,0.999964,0.992982,True,True,True,0.12215475883334222,0.04499999999999643,0.2892580896226405,0.2892580896226405,True,True,True,True,True,0.7456709380786196,0.7142857142857142
0.97,1.03,0.6,0.2,0.1,0.952,0.9359999999999999,2.5306646427650003e-05,0.24378,1.2248160790697674e-10,0.0,1.2248160790697674e-10,0.999964,0.992982,True,True,True,0.12215475883334222,0.04499999999999643,0.3759196046511626,0.3759196046511626,True,True,True,True,True,0.9189939681356638,0.7142857142857142
