beta_e_phys,gamma_exch_phys,gamma_drain_phys,B_eff,E_ind,em_scale,be7_scale,D_over_H,Y_p,Li7_over_H,Be7_over_H,Li_total_over_H,screening_eff,capture_eff,beta_response_ok,exchange_response_ok,drain_response_ok,chi_D,chi_Y,chi_Li7,chi_Li_total,passes_D,passes_Y,passes_Li7,passes_Li_total,passes_all,chi_sum,em_softness
0.97,1.03,0.66,0.0,0.0,1.0,1.0,2.5273790500000003e-05,0.24357,1.23487890625e-10,0.0,1.23487890625e-10,0.994,0.991,True,True,True,0.01263500000000749,0.007500000000000562,0.32560546874999935,0.32560546874999935,True,True,True,True,True,0.6713459375000068,1.0
0.97,1.03,0.68,0.0,0.0,1.0,1.0,2.5273790500000003e-05,0.24357,1.218558920704846e-10,0.0,1.218558920704846e-10,0.994,0.991,True,True,True,0.01263500000000749,0.007500000000000562,0.40720539647577003,0.40720539647577003,True,True,True,True,True,0.8345457929515481,1.0
0.97,1.03,0.7,0.0,0.0,1.0,1.0,2.5273790500000003e-05,0.24357,1.2026646739130435e-10,0.0,1.2026646739130435e-10,0.994,0.991,True,True,True,0.01263500000000749,0.007500000000000562,0.48667663043478193,0.48667663043478193,True,True,True,True,True,0.9934882608695719,1.0
0.97,1.03,0.72,0.0,0.0,1.0,1.0,2.5273790500000003e-05,0.24357,1.187179721030043e-10,0.0,1.187179721030043e-10,0.994,0.991,True,True,True,0.01263500000000749,0.007500000000000562,0.5641013948497845,0.5641013948497845,True,True,True,True,True,1.148337789699577,1.0
0.97,1.05,0.56,0.0,0.0,1.0,1.0,2.5273790500000003e-05,0.24357,1.3365460526315786e-10,0.0,1.3365460526315786e-10,0.994,0.991,True,True,True,0.01263500000000749,0.007500000000000562,0.1827302631578934,0.1827302631578934,True,True,True,True,True,0.38559552631579486,1.0
0.97,1.05,0.58,0.0,0.0,1.0,1.0,2.5273790500000003e-05,0.24357,1.3176326650943394e-10,0.0,1.3176326650943394e-10,0.994,0.991,True,True,True,0.01263500000000749,0.007500000000000562,0.0881633254716977,0.0881633254716977,True,True,True,True,True,0.19646165094340345,1.0
0.97,1.05,0.6,0.0,0.0,1.0,1.0,2.5273790500000003e-05,0.24357,1.2992470930232557e-10,0.0,1.2992470930232557e-10,0.994,0.991,True,True,True,0.01263500000000749,0.007500000000000562,0.0037645348837210334,0.0037645348837210334,True,True,True,True,True,0.027664069767450117,1.0
0.97,1.05,0.62,0.0,0.0,1.0,1.0,2.5273790500000003e-05,0.24357,1.2813675458715594e-10,0.0,1.2813675458715594e-10,0.994,0.991,True,True,True,0.01263500000000749,0.007500000000000562,0.09316227064220235,0.09316227064220235,True,True,True,True,True,0.20645954128441274,1.0
0.97,1.05,0.64,0.0,0.0,1.0,1.0,2.5273790500000003e-05,0.24357,1.2639734162895925e-10,0.0,1.2639734162895925e-10,0.994,0.991,True,True,True,0.01263500000000749,0.007500000000000562,0.18013291855203725,0.18013291855203725,True,True,True,True,True,0.38040083710408257,1.0
0.97,1.05,0.66,0.0,0.0,1.0,1.0,2.5273790500000003e-05,0.24357,1.2470452008928569e-10,0.0,1.2470452008928569e-10,0.994,0.991,True,True,True,0.01263500000000749,0.007500000000000562,0.26477399553571523,0.26477399553571523,True,True,True,True,True,0.5496829910714385,1.0
0.97,1.05,0.68,0.0,0.0,1.0,1.0,2.5273790500000003e-05,0.24357,1.230564427312775e-10,0.0,1.230564427312775e-10,0.994,0.991,True,True,True,0.01263500000000749,0.007500000000000562,0.3471778634361239,0.3471778634361239,True,True,True,True,True,0.7144907268722558,1.0
0.97,1.05,0.7,0.0,0.0,1.0,1.0,2.5273790500000003e-05,0.24357,1.2145135869565215e-10,0.0,1.2145135869565215e-10,0.994,0.991,True,True,True,0.01263500000000749,0.007500000000000562,0.42743206521739213,0.42743206521739213,True,True,True,True,True,0.8749991304347924,1.0
0.97,1.05,0.72,0.0,0.0,1.0,1.0,2.5273790500000003e-05,0.24357,1.1988760729613734e-10,0.0,1.1988760729613734e-10,0.994,0.991,True,True,True,0.01263500000000749,0.007500000000000562,0.5056196351931328,0.5056196351931328,True,True,True,True,True,1.0313742703862736,1.0
0.97,1.07,0.56,0.0,0.0,1.0,1.0,2.5273790500000003e-05,0.24357,1.3495855263157893e-10,0.0,1.3495855263157893e-10,0.994,0.991,True,True,True,0.01263500000000749,0.007500000000000562,0.2479276315789469,0.2479276315789469,True,True,True,True,True,0.5159902631579019,1.0
0.97,1.07,0.58,0.0,0.0,1.0,1.0,2.5273790500000003e-05,0.24357,1.3304876179245283e-10,0.0,1.3304876179245283e-10,0.994,0.991,True,True,True,0.01263500000000749,0.007500000000000562,0.15243808962264188,0.15243808962264188,True,True,True,True,True,0.3250111792452918,1.0
0.97,1.07,0.6,0.0,0.0,1.0,1.0,2.5273790500000003e-05,0.24357,1.3119226744186048e-10,0.0,1.3119226744186048e-10,0.994,0.991,True,True,True,0.01263500000000749,0.007500000000000562,0.05961337209302455,0.05961337209302455,True,True,True,True,True,0.13936174418605715,1.0
0.97,1.07,0.62,0.0,0.0,1.0,1.0,2.5273790500000003e-05,0.24357,1.2938686926605504e-10,0.0,1.2938686926605504e-10,0.994,0.991,True,True,True,0.01263500000000749,0.007500000000000562,0.030656536697247282,0.030656536697247282,True,True,True,True,True,0.08144807339450262,1.0
0.97,1.07,0.64,0.0,0.0,1.0,1.0,2.5273790500000003e-05,0.24357,1.2763048642533936e-10,0.0,1.2763048642533936e-10,0.994,0.991,True,True,True,0.01263500000000749,0.007500000000000562,0.11847567873303158,0.11847567873303158,True,True,True,True,True,0.2570863574660712,1.0
0.97,1.07,0.66,0.0,0.0,1.0,1.0,2.5273790500000003e-05,0.24357,1.2592114955357142e-10,0.0,1.2592114955357142e-10,0.994,0.991,True,True,True,0.01263500000000749,0.007500000000000562,0.20394252232142857,0.20394252232142857,True,True,True,True,True,0.4280200446428652,1.0
0.97,1.07,0.68,0.0,0.0,1.0,1.0,2.5273790500000003e-05,0.24357,1.242569933920705e-10,0.0,1.242569933920705e-10,0.994,0.991,True,True,True,0.01263500000000749,0.007500000000000562,0.2871503303964752,0.2871503303964752,True,True,True,True,True,0.5944356607929584,1.0
0.97,1.07,0.7,0.0,0.0,1.0,1.0,2.5273790500000003e-05,0.24357,1.2263625000000002e-10,0.0,1.2263625000000002e-10,0.994,0.991,True,True,True,0.01263500000000749,0.007500000000000562,0.36818749999999845,0.36818749999999845,True,True,True,True,True,0.7565100000000049,1.0
