gamma_r,gamma_im,W
6.246229981084087,-14.77602791224193,0.0012099819467846
6.313393744321552,-14.77602791224193,0.0011577652958009
6.380557507559014,-14.77602791224193,0.0010991178541788
6.447721270796477,-14.77602791224193,0.0010212670776032
6.51488503403394,-14.77602791224193,0.0009133806698265
6.582048797271403,-14.77602791224193,0.0007676347962135
6.649212560508867,-14.77602791224193,0.0005800216331688
6.716376323746331,-14.77602791224193,0.0003508344118334
6.783540086983794,-14.77602791224193,8.479317124466736e-05
6.850703850221257,-14.77602791224193,-0.0002091979404852
6.91786761345872,-14.77602791224193,-0.0005186428596516
6.985031376696184,-14.77602791224193,-0.0008283498160817
7.052195139933646,-14.77602791224193,-0.0011215631124523
7.11935890317111,-14.77602791224193,-0.0013812442973606
7.186522666408574,-14.77602791224193,-0.0015914053394858
7.253686429646036,-14.77602791224193,-0.0017383924959446
7.320850192883499,-14.77602791224193,-0.0018120231961934
7.388013956120964,-14.77602791224193,-0.0018064891144618
7.455177719358426,-14.77602791224193,-0.0017209558283958
7.522341482595889,-14.77602791224193,-0.0015598117457386
7.589505245833354,-14.77602791224193,-0.0013325446492461
7.656669009070816,-14.77602791224193,-0.0010532513532279
7.72383277230828,-14.77602791224193,-0.0007398125833247
7.790996535545744,-14.77602791224193,-0.000412789342812
7.858160298783206,-14.77602791224193,-9.411697361786174e-05
7.925324062020669,-14.77602791224193,0.0001943125547595
7.992487825258132,-14.77602791224193,0.0004320818753934
8.059651588495596,-14.77602791224193,0.0006015940958752
8.126815351733061,-14.77602791224193,0.0006892408721335
8.193979114970523,-14.77602791224193,0.0006863131943183
8.261142878207986,-14.77602791224193,0.0005895938422995
8.32830664144545,-14.77602791224193,0.000401593012439
8.395470404682913,-14.77602791224193,0.0001304135819237
8.462634167920376,-14.77602791224193,-0.0002107419620466
8.529797931157841,-14.77602791224193,-0.0006043865788559
8.596961694395302,-14.77602791224193,-0.0010298279958573
8.664125457632766,-14.77602791224193,-0.0014644376166337
8.731289220870229,-14.77602791224193,-0.0018850229105424
8.798452984107692,-14.77602791224193,-0.0022692119698254
8.865616747345156,-14.77602791224193,-0.0025967601567709
8.932780510582619,-14.77602791224193,-0.002850696197449
8.999944273820082,-14.77602791224193,-0.0030182380222129
9.067108037057546,-14.77602791224193,-0.0030914260383324
9.134271800295007,-14.77602791224193,-0.0030674419873742
9.201435563532472,-14.77602791224193,-0.002948603546821
9.268599326769936,-14.77602791224193,-0.0027420467752247
9.3357630900074,-14.77602791224193,-0.0024591288228406
9.402926853244862,-14.77602791224193,-0.0021146006541569
9.470090616482326,-14.77602791224193,-0.0017256127401906
9.537254379719789,-14.77602791224193,-0.0013106250016367
9.604418142957252,-14.77602791224193,-0.0008882953292415
9.671581906194715,-14.77602791224193,-0.0004764187858217
9.73874566943218,-14.77602791224193,-9.098250041643856e-05
9.80590943266964,-14.77602791224193,0.0002546099657727
9.873073195907104,-14.77602791224193,0.0005501053637915
9.940236959144569,-14.77602791224193,0.0007887354969855
10.00740072238203,-14.77602791224193,0.0009673138112892
10.0745644856195,-14.77602791224193,0.0010861040654752
10.14172824885696,-14.77602791224193,0.0011484859422945
10.20889201209442,-14.77602791224193,0.001160454391978
10.27605577533188,-14.77602791224193,0.001129998030054
10.34321953856935,-14.77602791224193,0.0010664066404733
10.41038330180681,-14.77602791224193,0.0009795586748178
10.47754706504428,-14.77602791224193,0.0008792368042316
10.54471082828174,-14.77602791224193,0.0007745135569704
10.6118745915192,-14.77602791224193,0.0006732405601108
10.67903835475666,-14.77602791224193,0.0005816647436078
10.74620211799413,-14.77602791224193,0.0005041839712092
10.81336588123159,-14.77602791224193,0.0004432438373938
10.88052964446906,-14.77602791224193,0.0003993676290555
10.94769340770652,-14.77602791224193,0.0003713033638172
11.01485717094398,-14.77602791224193,0.0003562658576615
11.08202093418144,-14.77602791224193,0.0003502481951075
11.14918469741891,-14.77602791224193,0.0003483757992315
11.21634846065637,-14.77602791224193,0.0003452773362416
11.28351222389384,-14.77602791224193,0.0003354495687828
11.3506759871313,-14.77602791224193,0.0003135974888262
11.41783975036876,-14.77602791224193,0.0002749360342316
11.48500351360622,-14.77602791224193,0.0002154448277756
11.55216727684369,-14.77602791224193,0.0001320721246584
11.61933104008115,-14.77602791224193,2.288806356158724e-05
11.68649480331862,-14.77602791224193,-0.0001128099238521
11.75365856655608,-14.77602791224193,-0.0002744352265026
11.82082232979354,-14.77602791224193,-0.0004600891797782
11.887986093031,-14.77602791224193,-0.0006665735862468
11.95514985626847,-14.77602791224193,-0.0008894366727821
12.02231361950593,-14.77602791224193,-0.0011230525381913
12.0894773827434,-14.77602791224193,-0.0013607360565099
12.15664114598086,-14.77602791224193,-0.0015948965683929
12.22380490921832,-14.77602791224193,-0.0018172341400179
12.29096867245578,-14.77602791224193,-0.0020189814320204
12.35813243569325,-14.77602791224193,-0.0021911921849903
12.42529619893071,-14.77602791224193,-0.0023250740462375
12.49245996216818,-14.77602791224193,-0.002412359159571
12.55962372540564,-14.77602791224193,-0.0024457009960289
12.6267874886431,-14.77602791224193,-0.0024190808224313
12.69395125188056,-14.77602791224193,-0.0023282025658618
12.76111501511803,-14.77602791224193,-0.0021708512341087
12.82827877835549,-14.77602791224193,-0.0019471880498331
12.89544254159296,-14.77602791224193,-0.001659955500095
12.96260630483042,-14.77602791224193,-0.0013145678844451
13.02977006806788,-14.77602791224193,-0.0009190677546258
13.09693383130534,-14.77602791224193,-0.0004839357420322
13.16409759454281,-14.77602791224193,-2.175029985562823e-05
13.23126135778027,-14.77602791224193,0.0004532957339854
13.29842512101773,-14.77602791224193,0.0009260038747636
13.3655888842552,-14.77602791224193,0.0013808754610755
13.43275264749266,-14.77602791224193,0.0018028758045937
13.49991641073012,-14.77602791224193,0.0021782115836087
13.56708017396759,-14.77602791224193,0.0024950715454145
13.63424393720505,-14.77602791224193,0.0027442795641887
13.70140770044251,-14.77602791224193,0.0029198119091514
13.76857146367998,-14.77602791224193,0.0030191372623835
13.83573522691744,-14.77602791224193,0.0030433483180439
13.9028989901549,-14.77602791224193,0.0029970671117402
13.97006275339237,-14.77602791224193,0.002888121703454
14.03722651662983,-14.77602791224193,0.002727008375425
14.10439027986729,-14.77602791224193,0.0025261698645493
14.17155404310476,-14.77602791224193,0.0022991350297715
14.23871780634222,-14.77602791224193,0.0020595775109267
14.30588156957968,-14.77602791224193,0.0018203592730152
14.37304533281715,-14.77602791224193,0.0015926286063211
14.44020909605461,-14.77602791224193,0.0013850406568377
14.50737285929207,-14.77602791224193,0.0012031617697757
14.57453662252954,-14.77602791224193,0.0010491071340312
14.641700385767,-14.77602791224193,0.000921445120289
14.70886414900446,-14.77602791224193,0.0008153823850649
14.77602791224193,-14.77602791224193,0.0007232226441628
-14.77602791224193,-14.70886414900446,0.000314800594398
-14.70886414900446,-14.70886414900446,0.0002042392252685
-14.641700385767,-14.70886414900446,8.75284525224048e-05
-14.57453662252954,-14.70886414900446,-4.512358750377497e-05
-14.50737285929207,-14.70886414900446,-0.0002025634809029
-14.44020909605461,-14.70886414900446,-0.0003917628274046
-14.37304533281715,-14.70886414900446,-0.0006170139612075
-14.30588156957968,-14.70886414900446,-0.0008793222371944
-14.23871780634222,-14.70886414900446,-0.0011760530428407
-14.17155404310476,-14.70886414900446,-0.0015008735168027
-14.10439027986729,-14.70886414900446,-0.0018440068153019
-14.03722651662983,-14.70886414900446,-0.0021927922786001
-13.97006275339237,-14.70886414900446,-0.0025325198764712
-13.9028989901549,-14.70886414900446,-0.0028474838307004
-13.83573522691744,-14.70886414900446,-0.0031221802598875
-13.76857146367998,-14.70886414900446,-0.0033425588046977
-13.70140770044251,-14.70886414900446,-0.0034972298637133
-13.63424393720505,-14.70886414900446,-0.0035785282264935
-13.56708017396759,-14.70886414900446,-0.003583340898046
-13.49991641073012,-14.70886414900446,-0.0035136215258123
-13.43275264749266,-14.70886414900446,-0.0033765352135249
-13.3655888842552,-14.70886414900446,-0.0031842042171179
-13.29842512101773,-14.70886414900446,-0.0029530551734655
-13.23126135778027,-14.70886414900446,-0.0027027998785105
-13.16409759454281,-14.70886414900446,-0.0024551117945617
-13.09693383130534,-14.70886414900446,-0.0022320870192576
-13.02977006806788,-14.70886414900446,-0.0020545991763225
-12.96260630483042,-14.70886414900446,-0.0019406707494961
-12.89544254159296,-14.70886414900446,-0.0019039874635737
-12.82827877835549,-14.70886414900446,-0.0019526767579489
-12.76111501511803,-14.70886414900446,-0.0020884562581634
-12.69395125188056,-14.70886414900446,-0.0023062342324187
-12.6267874886431,-14.70886414900446,-0.0025942128300464
-12.55962372540564,-14.70886414900446,-0.0029345085573571
-12.49245996216818,-14.70886414900446,-0.0033042655420643
-12.42529619893071,-14.70886414900446,-0.0036771985455653
-12.35813243569325,-14.70886414900446,-0.0040254673531233
-12.29096867245578,-14.70886414900446,-0.0043217549083413
-12.22380490921832,-14.70886414900446,-0.004541400797728
-12.15664114598086,-14.70886414900446,-0.0046644313094558
-12.0894773827434,-14.70886414900446,-0.0046773284420651
-12.02231361950593,-14.70886414900446,-0.0045743932482229
-11.95514985626847,-14.70886414900446,-0.0043585832102415
-11.887986093031,-14.70886414900446,-0.0040417375384676
-11.82082232979354,-14.70886414900446,-0.0036441461585332
-11.75365856655608,-14.70886414900446,-0.0031934648656557
-11.68649480331862,-14.70886414900446,-0.00272302738354
-11.61933104008115,-14.70886414900446,-0.0022696513670789
-11.55216727684369,-14.70886414900446,-0.0018710762662533
-11.48500351360622,-14.70886414900446,-0.0015632032546555
-11.41783975036876,-14.70886414900446,-0.0013773284893117
-11.3506759871313,-14.70886414900446,-0.001337568924619
-11.28351222389384,-14.70886414900446,-0.0014586737709662
