gamma_r,gamma_im,W
1.890909090909091,-4,3.402214950694305e-07
1.909090909090909,-4,3.826539079388982e-07
1.927272727272728,-4,4.324291735726649e-07
1.945454545454545,-4,4.858475082344128e-07
1.963636363636364,-4,5.396983879981523e-07
1.981818181818181,-4,5.912021133469104e-07
2,-4,6.379641684919932e-07
2.018181818181819,-4,6.779400602322762e-07
2.036363636363636,-4,7.094085913852484e-07
2.054545454545455,-4,7.309517679087892e-07
2.072727272727272,-4,7.414397595537419e-07
2.090909090909091,-4,7.400195327390089e-07
2.109090909090909,-4,7.261059541115074e-07
2.127272727272727,-4,6.993743266686101e-07
2.145454545454545,-4,6.597534692438429e-07
2.163636363636364,-4,6.074185874840704e-07
2.181818181818182,-4,5.427833119763045e-07
2.2,-4,4.664903982676557e-07
2.218181818181818,-4,3.794006960575768e-07
2.236363636363636,-4,2.825801010770894e-07
2.254545454545455,-4,1.77284304159875e-07
2.272727272727272,-4,6.494124750834839e-08
2.290909090909091,-4,-5.28687118020996e-08
2.309090909090909,-4,-1.744348468503623e-07
2.327272727272727,-4,-2.97940152637846e-07
2.345454545454546,-4,-4.214872525608805e-07
2.363636363636364,-4,-5.431258252167294e-07
2.381818181818182,-4,-6.608812040036455e-07
2.4,-4,-7.727837581649575e-07
2.418181818181818,-4,-8.768986305205223e-07
2.436363636363637,-4,-9.713553842515074e-07
2.454545454545454,-4,-1.054377099125965e-06
2.472727272727273,-4,-1.124308456428671e-06
2.490909090909091,-4,-1.179642361309767e-06
2.509090909090909,-4,-1.219044670820718e-06
2.527272727272728,-4,-1.241376624758072e-06
2.545454545454546,-4,-1.245714613891751e-06
2.563636363636363,-4,-1.231366964713509e-06
2.581818181818182,-4,-1.197887470553021e-06
2.6,-4,-1.145085454486146e-06
2.618181818181818,-4,-1.073032208006402e-06
2.636363636363637,-4,-9.820637101581327e-07
2.654545454545454,-4,-8.727795929487579e-07
2.672727272727273,-4,-7.460383791023854e-07
2.69090909090909,-4,-6.029490765668293e-07
2.709090909090909,-4,-4.448592693755722e-07
2.727272727272728,-4,-2.733398957637715e-07
2.745454545454545,-4,-9.016695091688517e-08
2.763636363636364,-4,1.026996068298914e-07
2.781818181818182,-4,3.031394318976287e-07
2.8,-4,5.088975048904929e-07
2.818181818181818,-4,7.176116150096397e-07
2.836363636363636,-4,9.268412242260104e-07
2.854545454545454,-4,1.134097313063426e-06
2.872727272727273,-4,1.336872800041362e-06
2.890909090909091,-4,1.532673123756687e-06
2.909090909090909,-4,1.719046578107976e-06
2.927272727272728,-4,1.893613996756216e-06
2.945454545454545,-4,2.054097392263266e-06
2.963636363636364,-4,2.198347168420859e-06
2.981818181818181,-4,2.324367540442825e-06
3,-4,2.430339817373163e-06
3.018181818181819,-4,2.514643223888304e-06
3.036363636363636,-4,2.575872964682048e-06
3.054545454545455,-4,2.612855264325834e-06
3.072727272727272,-4,2.624659148473093e-06
3.090909090909091,-4,2.6106047693047e-06
3.109090909090909,-4,2.570268118961711e-06
3.127272727272727,-4,2.503482019631354e-06
3.145454545454545,-4,2.410333328129333e-06
3.163636363636364,-4,2.291156345946638e-06
3.181818181818182,-4,2.146522482836471e-06
3.2,-4,1.977226282504104e-06
3.218181818181818,-4,1.784267982406617e-06
3.236363636363636,-4,1.568832845164884e-06
3.254545454545455,-4,1.332267565596117e-06
3.272727272727272,-4,1.076054123713622e-06
3.290909090909091,-4,8.017815186499392e-07
3.309090909090909,-4,5.111158797389346e-07
3.327272727272727,-4,2.057695071498775e-07
3.345454545454546,-4,-1.125305564628173e-07
3.363636363636364,-4,-4.420737816776904e-07
3.381818181818182,-4,-7.811965646212565e-07
3.4,-4,-1.128311108624798e-06
3.418181818181818,-4,-1.481932085899863e-06
3.436363636363637,-4,-1.840700403742829e-06
3.454545454545454,-4,-2.203403430420033e-06
3.472727272727273,-4,-2.568991084245221e-06
3.490909090909091,-4,-2.936587255607911e-06
3.509090909090909,-4,-3.30549611552613e-06
3.527272727272728,-4,-3.67520296507705e-06
3.545454545454546,-4,-4.0453693961938e-06
3.563636363636363,-4,-4.415822664083466e-06
3.581818181818182,-4,-4.78653931233055e-06
3.6,-4,-5.157623240526006e-06
3.618181818181818,-4,-5.529278557683249e-06
3.636363636363637,-4,-5.90177771865917e-06
3.654545454545454,-4,-6.27542559134318e-06
3.672727272727273,-4,-6.650520244882855e-06
3.69090909090909,-4,-7.027311379498611e-06
3.709090909090909,-4,-7.405957431829328e-06
3.727272727272728,-4,-7.786482482351404e-06
3.745454545454545,-4,-8.168734159181138e-06
3.763636363636364,-4,-8.552343772272703e-06
3.781818181818182,-4,-8.93668992093925e-06
3.8,-4,-9.32086679368801e-06
3.818181818181817,-4,-9.703658321582494e-06
3.836363636363636,-4,-1.008351925436621e-05
3.854545454545455,-4,-1.045856410320744e-05
3.872727272727273,-4,-1.082656473705844e-05
