gamma_r,gamma_im,W
-2.933333333333334,-4,-3.034619056395963e-05
-2.915555555555556,-4,-3.695386769435985e-05
-2.897777777777778,-4,-4.313492333287475e-05
-2.88,-4,-4.884064244323812e-05
-2.862222222222222,-4,-5.402737440614877e-05
-2.844444444444445,-4,-5.865688857170979e-05
-2.826666666666666,-4,-6.269666662728114e-05
-2.808888888888889,-4,-6.612013214898702e-05
-2.791111111111112,-4,-6.890681852395037e-05
-2.773333333333333,-4,-7.10424771174876e-05
-2.755555555555556,-4,-7.251912810435034e-05
-2.737777777777778,-4,-7.333505678008107e-05
-2.72,-4,-7.349475841737095e-05
-2.702222222222222,-4,-7.300883483800015e-05
-2.684444444444445,-4,-7.189384584351602e-05
-2.666666666666667,-4,-7.01721185021807e-05
-2.648888888888889,-4,-6.787151704497623e-05
-2.631111111111111,-4,-6.502517580241277e-05
-2.613333333333333,-4,-6.167119724221721e-05
-2.595555555555555,-4,-5.78523167734843e-05
-2.577777777777777,-4,-5.361553559431639e-05
-2.56,-4,-4.901172250639138e-05
-2.542222222222222,-4,-4.409518532914334e-05
-2.524444444444445,-4,-3.892321234433823e-05
-2.506666666666667,-4,-3.355558411160048e-05
-2.488888888888889,-4,-2.805405603584963e-05
-2.471111111111111,-4,-2.248181225254615e-05
-2.453333333333333,-4,-1.69028917345452e-05
-2.435555555555556,-4,-1.138158801730633e-05
-2.417777777777777,-4,-5.981824582704039e-06
-2.4,-4,-7.665087243628729e-07
-2.382222222222222,-4,4.203132378867721e-06
-2.364444444444445,-4,8.868228654787284e-06
-2.346666666666667,-4,1.317295140327928e-05
-2.328888888888889,-4,1.706519794912189e-05
-2.311111111111111,-4,2.049726871312206e-05
-2.293333333333333,-4,2.342652770504538e-05
-2.275555555555556,-4,2.581603651561924e-05
-2.257777777777778,-4,2.763515110609792e-05
-2.24,-4,2.886007010761897e-05
-2.222222222222222,-4,2.94743229909411e-05
-2.204444444444444,-4,2.946918638777518e-05
-2.186666666666667,-4,2.884401706925854e-05
-2.168888888888889,-4,2.76064906388116e-05
-2.151111111111112,-4,2.577273589032096e-05
-2.133333333333333,-4,2.336735602262247e-05
-2.115555555555556,-4,2.042332948081084e-05
-2.097777777777778,-4,1.69817850954304e-05
-2.08,-4,1.309164838172677e-05
-2.062222222222222,-4,8.809158300589395e-06
-2.044444444444444,-4,4.197256417367153e-06
-2.026666666666666,-4,-6.751468390711694e-07
-2.008888888888889,-4,-5.734021288912558e-06
-1.991111111111111,-4,-1.090117115108528e-05
-1.973333333333333,-4,-1.609528119202831e-05
-1.955555555555556,-4,-2.123303932061718e-05
-1.937777777777778,-4,-2.623031783507114e-05
-1.92,-4,-3.100339364162323e-05
-1.902222222222222,-4,-3.547018630890581e-05
-1.884444444444444,-4,-3.955149186192027e-05
-1.866666666666667,-4,-4.317218980828958e-05
-1.848888888888889,-4,-4.626240106547184e-05
-1.831111111111111,-4,-4.875857524182793e-05
-1.813333333333333,-4,-5.060448711874545e-05
-1.795555555555556,-4,-5.175212416724152e-05
-1.777777777777778,-4,-5.216244947119801e-05
-1.76,-4,-5.180602746040732e-05
-1.742222222222223,-4,-5.066350329951191e-05
