beta_e_phys,gamma_exch_phys,gamma_drain_phys,D_over_H,Y_p,Li7_over_H,Be7_over_H,Li_total_over_H,screening_eff,capture_eff,beta_response_ok,exchange_response_ok,drain_response_ok,surface_name,surface_t,surface_weight,surface_capture_fraction,Li7_surface_over_H,Be7_surface_over_H,Li_total_surface_over_H,chi_D,chi_Y,chi_Li_total_surface,passes_D,passes_Y,passes_Li_total_surface,passes_all,chi_sum
0.96,1.15,0.62,2.5275054e-05,0.24356,1.3398050458715595e-10,0.0,1.3398050458715595e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.3398050458715595e-10,0.0,1.3398050458715595e-10,0.016846666666661594,0.010000000000003062,0.19902522935779812,True,True,True,True,0.22587189602446278
0.96,1.15,0.64,2.5275054e-05,0.24356,1.3216176470588233e-10,0.0,1.3216176470588233e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.3216176470588233e-10,0.0,1.3216176470588233e-10,0.016846666666661594,0.010000000000003062,0.10808823529411682,True,True,True,True,0.13493490196078148
0.96,1.15,0.66,2.5275054e-05,0.24356,1.3039174107142854e-10,0.0,1.3039174107142854e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.3039174107142854e-10,0.0,1.3039174107142854e-10,0.016846666666661594,0.010000000000003062,0.019587053571427333,True,True,True,True,0.04643372023809199
0.96,1.15,0.68,2.5275054e-05,0.24356,1.2866850220264315e-10,0.0,1.2866850220264315e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.2866850220264315e-10,0.0,1.2866850220264315e-10,0.016846666666661594,0.010000000000003062,0.06657488986784185,True,True,True,True,0.09342155653450651
0.96,1.15,0.7,2.5275054e-05,0.24356,1.2699021739130434e-10,0.0,1.2699021739130434e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.2699021739130434e-10,0.0,1.2699021739130434e-10,0.016846666666661594,0.010000000000003062,0.1504891304347827,True,True,True,True,0.17733579710144737
0.96,1.15,0.72,2.5275054e-05,0.24356,1.2535515021459226e-10,0.0,1.2535515021459226e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.2535515021459226e-10,0.0,1.2535515021459226e-10,0.016846666666661594,0.010000000000003062,0.23224248927038654,True,True,True,True,0.2590891559370512
0.97,1.03,0.56,2.5273790500000003e-05,0.24357,1.3235065789473684e-10,0.0,1.3235065789473684e-10,0.994,0.991,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.3235065789473684e-10,0.0,1.3235065789473684e-10,0.01263500000000749,0.007500000000000562,0.11753289473684245,True,True,True,True,0.13766789473685048
0.97,1.03,0.58,2.5273790500000003e-05,0.24357,1.304777712264151e-10,0.0,1.304777712264151e-10,0.994,0.991,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.304777712264151e-10,0.0,1.304777712264151e-10,0.01263500000000749,0.007500000000000562,0.023888561320756084,True,True,True,True,0.04402356132076413
0.97,1.03,0.6,2.5273790500000003e-05,0.24357,1.286571511627907e-10,0.0,1.286571511627907e-10,0.994,0.991,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.286571511627907e-10,0.0,1.286571511627907e-10,0.01263500000000749,0.007500000000000562,0.06714244186046403,True,True,True,True,0.08727744186047208
0.97,1.03,0.62,2.5273790500000003e-05,0.24357,1.268866399082569e-10,0.0,1.268866399082569e-10,0.994,0.991,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.268866399082569e-10,0.0,1.268866399082569e-10,0.01263500000000749,0.007500000000000562,0.15566800458715482,True,True,True,True,0.17580300458716286
0.97,1.03,0.64,2.5273790500000003e-05,0.24357,1.2516419683257918e-10,0.0,1.2516419683257918e-10,0.994,0.991,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.2516419683257918e-10,0.0,1.2516419683257918e-10,0.01263500000000749,0.007500000000000562,0.24179015837104037,True,True,True,True,0.2619251583710484
0.97,1.03,0.66,2.5273790500000003e-05,0.24357,1.23487890625e-10,0.0,1.23487890625e-10,0.994,0.991,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.23487890625e-10,0.0,1.23487890625e-10,0.01263500000000749,0.007500000000000562,0.32560546874999935,True,True,True,True,0.3457404687500074
0.97,1.03,0.68,2.5273790500000003e-05,0.24357,1.218558920704846e-10,0.0,1.218558920704846e-10,0.994,0.991,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.218558920704846e-10,0.0,1.218558920704846e-10,0.01263500000000749,0.007500000000000562,0.40720539647577003,True,True,True,True,0.4273403964757781
0.97,1.03,0.7,2.5273790500000003e-05,0.24357,1.2026646739130435e-10,0.0,1.2026646739130435e-10,0.994,0.991,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.2026646739130435e-10,0.0,1.2026646739130435e-10,0.01263500000000749,0.007500000000000562,0.48667663043478193,True,True,True,True,0.5068116304347899
0.97,1.03,0.72,2.5273790500000003e-05,0.24357,1.187179721030043e-10,0.0,1.187179721030043e-10,0.994,0.991,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.187179721030043e-10,0.0,1.187179721030043e-10,0.01263500000000749,0.007500000000000562,0.5641013948497845,True,True,True,True,0.5842363948497925
0.97,1.05,0.56,2.5273790500000003e-05,0.24357,1.3365460526315786e-10,0.0,1.3365460526315786e-10,0.994,0.991,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.3365460526315786e-10,0.0,1.3365460526315786e-10,0.01263500000000749,0.007500000000000562,0.1827302631578934,True,True,True,True,0.20286526315790143
0.97,1.05,0.58,2.5273790500000003e-05,0.24357,1.3176326650943394e-10,0.0,1.3176326650943394e-10,0.994,0.991,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.3176326650943394e-10,0.0,1.3176326650943394e-10,0.01263500000000749,0.007500000000000562,0.0881633254716977,True,True,True,True,0.10829832547170574
0.97,1.05,0.6,2.5273790500000003e-05,0.24357,1.2992470930232557e-10,0.0,1.2992470930232557e-10,0.994,0.991,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.2992470930232557e-10,0.0,1.2992470930232557e-10,0.01263500000000749,0.007500000000000562,0.0037645348837210334,True,True,True,True,0.023899534883729083
0.97,1.05,0.62,2.5273790500000003e-05,0.24357,1.2813675458715594e-10,0.0,1.2813675458715594e-10,0.994,0.991,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.2813675458715594e-10,0.0,1.2813675458715594e-10,0.01263500000000749,0.007500000000000562,0.09316227064220235,True,True,True,True,0.1132972706422104
0.97,1.05,0.64,2.5273790500000003e-05,0.24357,1.2639734162895925e-10,0.0,1.2639734162895925e-10,0.994,0.991,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.2639734162895925e-10,0.0,1.2639734162895925e-10,0.01263500000000749,0.007500000000000562,0.18013291855203725,True,True,True,True,0.2002679185520453
0.97,1.05,0.66,2.5273790500000003e-05,0.24357,1.2470452008928569e-10,0.0,1.2470452008928569e-10,0.994,0.991,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.2470452008928569e-10,0.0,1.2470452008928569e-10,0.01263500000000749,0.007500000000000562,0.26477399553571523,True,True,True,True,0.2849089955357233
0.97,1.05,0.68,2.5273790500000003e-05,0.24357,1.230564427312775e-10,0.0,1.230564427312775e-10,0.994,0.991,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.230564427312775e-10,0.0,1.230564427312775e-10,0.01263500000000749,0.007500000000000562,0.3471778634361239,True,True,True,True,0.36731286343613195
0.97,1.05,0.7,2.5273790500000003e-05,0.24357,1.2145135869565215e-10,0.0,1.2145135869565215e-10,0.994,0.991,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.2145135869565215e-10,0.0,1.2145135869565215e-10,0.01263500000000749,0.007500000000000562,0.42743206521739213,True,True,True,True,0.4475670652174002
