galaxy,source,q_flag,fit_status,n_points,vh_best,chi2_min,chi2_vh0,delta_chi2_vh0,vh_minus,vh_plus,vh_bs_p16,vh_bs_p50,vh_bs_p84,rho0_r0_1kpc
UGC04278,data/SPARC/Rotmod\UGC04278_rotmod.dat,1,ok,25,40.96,354.49835308871457,557.9686086225017,203.47025553378717,1.2303217201525882,1.1966891723841613,35.204,41.260000000000005,45.9232,31041998.75980242
UGC04325,data/SPARC/Rotmod\UGC04325_rotmod.dat,1,ok,8,64.78,104.59840350345291,295.9243158039035,191.32591230045057,1.3535164755576758,1.32635916053691,58.756800000000005,64.94,70.50319999999999,77644673.60280445
UGC04499,data/SPARC/Rotmod\UGC04499_rotmod.dat,1,ok,9,46.519999999999996,108.71628996602945,285.0956265136065,176.37933654757703,1.333173243528826,1.2988554338460006,41.6368,46.56,50.136,40041394.4440338
UGC05005,data/SPARC/Rotmod\UGC05005_rotmod.dat,1,ok,11,49.44,63.755054189613304,82.68588898405851,18.930834794445204,4.141435734998922,3.9972698706994336,37.0984,49.33,62.0832,45225846.61231529
UGC05414,data/SPARC/Rotmod\UGC05414_rotmod.dat,1,ok,6,26.8,71.77928684493757,143.8342649178654,72.05497807292782,1.6761851992950056,1.6307723491741015,20.971999999999998,26.86,32.760000000000005,13289216.273570353
UGC05721,data/SPARC/Rotmod\UGC05721_rotmod.dat,1,ok,23,60.24,263.1054911511955,530.8818825762587,267.7763914250632,1.1768368205236541,1.1511366259517075,55.9368,60.41,63.903200000000005,67142840.09855962
UGC05750,data/SPARC/Rotmod\UGC05750_rotmod.dat,1,ok,11,25.18,63.85882290155145,83.8885906986093,20.029767797057858,3.2590806721783387,3.03364077175506,13.9944,24.950000000000003,37.483200000000004,11731167.420431703
UGC06399,data/SPARC/Rotmod\UGC06399_rotmod.dat,1,ok,9,56.18,63.35210923091037,144.8929919354196,81.54088270450922,2.0501930219847324,2.028234730777193,50.9104,56.07,60.2256,58397364.95405305
UGC06446,data/SPARC/Rotmod\UGC06446_rotmod.dat,1,ok,17,63.56,71.30612123117969,300.83609791361545,229.52997668243574,1.259898497642169,1.2515963008758746,61.2168,63.81,66.1432,74747652.57892522
UGC06614,data/SPARC/Rotmod\UGC06614_rotmod.dat,1,ok,13,68.22,186.62930924573652,192.14941375142007,5.520104505683548,7.8869727995603895,7.187662233370133,0.0,62.21,99.656,86109925.09183863
UGC06667,data/SPARC/Rotmod\UGC06667_rotmod.dat,1,ok,9,63.5,194.51703721213437,457.5459366642415,263.0288994521071,1.188108543201217,1.202854169905109,57.364,63.49,69.3064,74606597.12506133
UGC06786,data/SPARC/Rotmod\UGC06786_rotmod.dat,1,ok,45,153.92000000000002,4597.85091238125,5608.6431980698535,1010.7922856886034,0.6014271106261049,0.6095853632878914,143.4144,153.81,160.8992,438348869.3277984
UGC06917,data/SPARC/Rotmod\UGC06917_rotmod.dat,1,ok,11,64.8,113.22784905196416,222.6325129773449,109.40466392538075,1.7249150075528092,1.7217391184150017,58.833600000000004,64.76,71.4232,77692624.61206958
UGC06930,data/SPARC/Rotmod\UGC06930_rotmod.dat,1,ok,10,71.1,24.20694353135023,70.14782799364073,45.9408844622905,2.7471344867631444,2.714107844292627,67.3904,71.38,74.55279999999999,93533886.99921414
UGC06983,data/SPARC/Rotmod\UGC06983_rotmod.dat,1,ok,17,80.96000000000001,74.78996197972623,218.89343148119963,144.1034695014734,1.5866476206295346,1.5620529050258654,77.43039999999999,81.19,84.0432,121274859.53467977
UGC07125,data/SPARC/Rotmod\UGC07125_rotmod.dat,1,ok,13,36.7,94.40514763834717,322.71207712600466,228.3069294876575,1.0802373679676975,1.0502802103199116,34.06,36.74,39.54,24920795.982831884
UGC07151,data/SPARC/Rotmod\UGC07151_rotmod.dat,1,ok,11,35.5,140.29397477295316,298.21726236913474,157.92328759618158,1.263543437293201,1.2385932774653412,30.1768,35.51,41.9112,23317741.71414435
UGC07323,data/SPARC/Rotmod\UGC07323_rotmod.dat,1,ok,10,24.740000000000002,47.368014455060106,69.73583995656894,22.367825501508833,2.8638398688837405,2.637186656550231,19.22076,25.130000000000003,31.1208,11324764.299461393
UGC07399,data/SPARC/Rotmod\UGC07399_rotmod.dat,1,ok,10,74.96000000000001,248.40762689326687,550.6517546962281,302.2441278029612,1.1072017085245704,1.104587689944438,69.2368,75.28999999999999,80.78240000000001,103965425.90768805
UGC07524,data/SPARC/Rotmod\UGC07524_rotmod.dat,1,ok,31,46.8,518.0105522642725,1036.304369250973,518.2938169867004,0.7807106126001955,0.773838367030578,43.0312,46.839999999999996,50.383199999999995,40524856.66493752
UGC07603,data/SPARC/Rotmod\UGC07603_rotmod.dat,1,ok,12,43.019999999999996,230.8350512303545,536.8693709055614,306.03431967520686,1.0321676637709274,1.0090704632166023,38.4536,42.730000000000004,47.452799999999996,34242904.40174402
UGC07608,data/SPARC/Rotmod\UGC07608_rotmod.dat,1,ok,8,43.46,40.49923178187662,88.46376327261744,47.964531490740825,2.6992531676254288,2.6459909234116026,36.06,43.62,49.123200000000004,34946945.70586087
UGC08286,data/SPARC/Rotmod\UGC08286_rotmod.dat,1,ok,17,64.86,428.3662409356691,1389.6999707506136,961.3337298149445,0.6055217681783489,0.6080467632719149,61.9568,65.06,67.26,77836566.4517358
UGC08490,data/SPARC/Rotmod\UGC08490_rotmod.dat,1,ok,30,64.48,208.86206709408202,795.2777752265497,586.4157081324677,0.7810086758473531,0.7855795100920631,62.2968,64.56,66.25600000000001,76927184.70124438
UGC08550,data/SPARC/Rotmod\UGC08550_rotmod.dat,1,ok,11,42.56,174.45244931783162,769.6157774690355,595.1633281512038,0.7486059869889985,0.7401039544645158,38.9504,42.730000000000004,45.682399999999994,33514521.244027406
UGC09133,data/SPARC/Rotmod\UGC09133_rotmod.dat,1,ok,68,157.86,14326.21300864717,16250.88173853271,1924.6687298855395,0.43321822818018063,0.44168656564730213,151.9512,158.29,163.8888,461077551.5066086
UGC10310,data/SPARC/Rotmod\UGC10310_rotmod.dat,1,ok,7,46.16,18.927888449169647,66.28624754203281,47.35835909286317,2.6159720226034935,2.5371060034136903,41.36,46.379999999999995,51.0432,39424063.12981513
UGC11820,data/SPARC/Rotmod\UGC11820_rotmod.dat,1,ok,10,62.5,689.0519126069131,2688.751212496102,1999.6992998891892,0.42018109028194317,0.42269605163238566,57.3704,62.09,64.8696,72275285.5154742
UGC12632,data/SPARC/Rotmod\UGC12632_rotmod.dat,1,ok,15,53.28,84.18193655274128,415.4812999726189,331.29936341987764,1.0003978266231286,1.0140063387283078,51.019999999999996,53.54,55.4392,52524050.91057938
UGC12732,data/SPARC/Rotmod\UGC12732_rotmod.dat,1,ok,16,65.84,228.06153933319874,553.7568351035477,325.69529577034893,1.0520015294190017,1.0331945861714047,61.1,66.41,70.05839999999999,80206474.22019276
UGCA442,data/SPARC/Rotmod\UGCA442_rotmod.dat,1,ok,8,45.04,557.4066137959319,1732.0427478051784,1174.6361340092465,0.5490261929584861,0.5505823261067917,31.264,43.71,48.9632,37534146.51830983
