galaxy,source,q_flag,fit_status,n_points,ml_star_best,rho0_best,r0_best,v_inf_best,chi2_min,chi2_red
NGC3521,data/SPARC/Rotmod\NGC3521_rotmod.dat,1,ok,41,0.19,8209766189.929886,0.2873565180737594,191.41305571638287,1.8630224073161565,0.04902690545568833
NGC3726,data/SPARC/Rotmod\NGC3726_rotmod.dat,2,ok,12,0.6499999999999999,1905058.853282541,27.844334481524214,282.53753376056426,17.57700484907196,1.9530005387857736
NGC3741,data/SPARC/Rotmod\NGC3741_rotmod.dat,1,ok,21,1.5333333333333332,18571405.968252677,1.9545763139640824,61.92416123902043,7.859374382698146,0.436631910149897
NGC3769,data/SPARC/Rotmod\NGC3769_rotmod.dat,2,ok,12,0.22500000000000003,162597739.5956761,1.257400660690355,117.87346371488366,5.049174733508966,0.5610194148343296
NGC3877,data/SPARC/Rotmod\NGC3877_rotmod.dat,2,boundary,13,0.05,249908582.107233,1.6336457781104678,189.86004931097452,16.24497508950632,1.624497508950632
NGC3893,data/SPARC/Rotmod\NGC3893_rotmod.dat,1,ok,10,0.39999999999999997,171462021.21288303,1.7653958659645173,169.94609273588426,3.3146518847509556,0.4735216978215651
NGC3917,data/SPARC/Rotmod\NGC3917_rotmod.dat,1,ok,17,0.5416666666666666,44725448.81707061,2.7709684370814998,136.23667698374433,19.66057295018799,1.4043266392991423
NGC3949,data/SPARC/Rotmod\NGC3949_rotmod.dat,2,ok,7,0.09666666666666668,746147052.0636015,0.8307563780385401,166.82879284719138,0.431633584445137,0.10790839611128425
NGC3953,data/SPARC/Rotmod\NGC3953_rotmod.dat,1,ok,8,0.45833333333333337,337635293.0338837,1.2169231638990636,164.38878508659528,1.6865099039235136,0.33730198078470275
NGC3972,data/SPARC/Rotmod\NGC3972_rotmod.dat,1,boundary,10,0.05,129668535.41817199,1.8152956561413405,151.96717162901027,1.38064332955579,0.19723476136511287
NGC3992,data/SPARC/Rotmod\NGC3992_rotmod.dat,1,ok,9,0.6083333333333333,296789025.05357695,1.625745765810723,205.902518869092,2.7309836137559134,0.45516393562598556
NGC4010,data/SPARC/Rotmod\NGC4010_rotmod.dat,2,ok,12,0.175,48082244.533437945,2.8875287417994473,147.19863799251652,14.561565964734339,1.617951773859371
NGC4013,data/SPARC/Rotmod\NGC4013_rotmod.dat,2,ok,36,0.6749999999999999,4144049.5194788333,15.469407652462001,231.5108032277942,26.370550324470443,0.7991075855900134
NGC4051,data/SPARC/Rotmod\NGC4051_rotmod.dat,2,ok,7,0.3833333333333333,145202654.09308684,1.334329715596903,118.20491760543698,3.208704439083791,0.8021761097709478
NGC4068,data/SPARC/Rotmod\NGC4068_rotmod.dat,2,boundary,6,0.05,25090623.31221439,1.7739744822207189,65.32632135613645,0.30381288579940197,0.101270961933134
NGC4085,data/SPARC/Rotmod\NGC4085_rotmod.dat,2,boundary,7,0.05,168774911.15393642,1.7825947846835628,170.25178931122267,5.334247069944576,1.333561767486144
NGC4088,data/SPARC/Rotmod\NGC4088_rotmod.dat,1,ok,12,0.245,107712134.19748482,1.93571807459141,147.69287008858166,4.334778951751172,0.4816421057501302
NGC4100,data/SPARC/Rotmod\NGC4100_rotmod.dat,1,ok,24,0.5833333333333333,178992405.9053467,1.509897160618419,148.5079764792488,22.961648978517708,1.093411856119891
NGC4138,data/SPARC/Rotmod\NGC4138_rotmod.dat,2,ok,7,0.6333333333333333,193525373.1332808,1.2392470528157027,126.73949164711506,5.013279378855417,1.2533198447138543
NGC4157,data/SPARC/Rotmod\NGC4157_rotmod.dat,1,ok,17,0.5333333333333332,5890990.1308559375,12.169231638990643,217.14129063110136,4.30314178207015,0.30736727014786785
NGC4183,data/SPARC/Rotmod\NGC4183_rotmod.dat,1,ok,23,0.5833333333333333,98839672.4975362,1.3588073730471202,99.31358356075562,2.430991882646383,0.12154959413231917
NGC4214,data/SPARC/Rotmod\NGC4214_rotmod.dat,2,boundary,14,0.05,6208653965.720616,0.13588073730471206,78.71214214113299,5.421350151831639,0.4928500138028763
NGC4217,data/SPARC/Rotmod\NGC4217_rotmod.dat,1,ok,19,0.13666666666666666,182880726.76396143,1.9712279215176967,195.97736808252085,29.8966099548613,1.8685381221788313
NGC4389,data/SPARC/Rotmod\NGC4389_rotmod.dat,3,boundary,6,0.05,33898315.467962794,4.60982257652271,197.3142169929642,0.5488681877357526,0.1829560625785842
NGC4559,data/SPARC/Rotmod\NGC4559_rotmod.dat,1,ok,32,0.16666666666666669,134594709.61332542,1.3770425767967092,117.44822906590015,7.881267856723557,0.2717678571283985
NGC5005,data/SPARC/Rotmod\NGC5005_rotmod.dat,1,ok,18,0.5249999999999999,50591950.68696525,4.168693834703353,217.98460442737598,0.8789435226897688,0.05859623484598459
NGC5033,data/SPARC/Rotmod\NGC5033_rotmod.dat,1,ok,22,0.475,327135545.2239073,1.41082674574606,187.5956057612984,127.26125185822704,6.697960624117212
NGC5055,data/SPARC/Rotmod\NGC5055_rotmod.dat,1,ok,28,0.3833333333333333,45179505.7776392,3.404907069452944,168.2523390155533,192.12533312296597,7.685013324918639
NGC5371,data/SPARC/Rotmod\NGC5371_rotmod.dat,1,ok,19,0.32499999999999996,10262349930176.232,0.007028167531059745,165.5200558840931,21.832485607486298,1.3645303504678936
NGC5585,data/SPARC/Rotmod\NGC5585_rotmod.dat,1,ok,24,0.625,18867086.241137296,3.3598182862837827,107.28853524457826,98.50649307804358,4.690785384668741
NGC5907,data/SPARC/Rotmod\NGC5907_rotmod.dat,1,ok,19,0.4,54358463892.483,0.10702215315743607,183.43929868391672,46.04570687626389,2.8778566797664933
NGC5985,data/SPARC/Rotmod\NGC5985_rotmod.dat,1,ok,33,0.4083333333333333,1567127478.380115,0.9109062548261444,265.1007500075596,67.07534881459789,2.235844960486596
NGC6015,data/SPARC/Rotmod\NGC6015_rotmod.dat,2,ok,44,0.39166666666666666,485464816.9683925,0.8741358812208402,141.59337613062863,194.8036124579874,4.751307620926522
NGC6195,data/SPARC/Rotmod\NGC6195_rotmod.dat,1,ok,23,0.07,71720575522.2718,0.11791768581084598,232.1592219808844,33.0029913395567,1.650149566977835
NGC6503,data/SPARC/Rotmod\NGC6503_rotmod.dat,1,ok,31,0.2425,706015522.1461535,0.573351631473246,111.99877864141747,31.83165297252098,1.1368447490186064
NGC6674,data/SPARC/Rotmod\NGC6674_rotmod.dat,1,ok,15,1.375,939431.5466484476,48.56414973474005,346.04570938751965,13.708673137694381,1.1423894281411984
NGC6789,data/SPARC/Rotmod\NGC6789_rotmod.dat,2,ok,4,1.3583333333333334,314063749.80938953,8.646535029500368,1126.5127733148418,0.3668733692848635,0.3668733692848635
NGC6946,data/SPARC/Rotmod\NGC6946_rotmod.dat,1,ok,58,0.5583333333333332,20079277.95281051,4.660377025539272,153.5253894682554,80.60450996821736,1.4655365448766793
NGC7331,data/SPARC/Rotmod\NGC7331_rotmod.dat,1,ok,36,0.14333333333333334,11804312887.242067,0.27078934948097905,216.29030075867138,40.036376928632905,1.2132235432919063
NGC7793,data/SPARC/Rotmod\NGC7793_rotmod.dat,1,ok,46,0.7749999999999999,27936893.811882976,2.4134126176154935,93.77903226941213,33.941980654424206,0.7893483873121908
NGC7814,data/SPARC/Rotmod\NGC7814_rotmod.dat,1,ok,18,0.55,205959187.78342727,1.9100847252043118,201.5247198897973,5.107869394371866,0.34052462629145774
PGC51017,data/SPARC/Rotmod\PGC51017_rotmod.dat,3,ok,6,0.13,1294832943934.9219,0.0015594895040582832,13.045911730292731,4.022994614435939,1.3409982048119797
