galaxy,source,q_flag,fit_status,n_points,rho_s_best,r_s_best,v_scale_best,chi2_min,chi2_red
UGC07151,data/SPARC/Rotmod\UGC07151_rotmod.dat,1,ok,11,967839.5323442081,26.523073769653333,84.30529020556322,17.479427933689017,1.9421586592987796
UGC07232,data/SPARC/Rotmod\UGC07232_rotmod.dat,2,boundary,4,19643.03692770045,1584.893192461114,717.6845753776925,8.144469421662013,4.072234710831006
UGC07261,data/SPARC/Rotmod\UGC07261_rotmod.dat,2,ok,7,4273292.198263318,9.495611457069044,63.42106440567975,1.7105286179573191,0.34210572359146385
UGC07323,data/SPARC/Rotmod\UGC07323_rotmod.dat,1,boundary,10,8124.087276176981,1584.893192461114,461.5476945704357,11.801563639107378,1.4751954548884223
UGC07399,data/SPARC/Rotmod\UGC07399_rotmod.dat,1,ok,10,16254141.223214088,7.834958442206347,102.05822421958294,10.240448030940726,1.2800560038675908
UGC07524,data/SPARC/Rotmod\UGC07524_rotmod.dat,1,ok,31,988864.282653425,25.524496656228603,82.00773699717308,27.282806995698436,0.9407864481275323
UGC07559,data/SPARC/Rotmod\UGC07559_rotmod.dat,2,boundary,7,4448.86677340993,1584.893192461114,341.54976910670155,3.8293690833638103,0.7658738166727621
UGC07577,data/SPARC/Rotmod\UGC07577_rotmod.dat,2,boundary,9,0.6309573444801932,0.0031622776601683794,8.11576187406671e-06,2.7906408832311125,0.39866298331873035
UGC07603,data/SPARC/Rotmod\UGC07603_rotmod.dat,1,ok,12,656489.5505508549,55.564987788828695,145.46028292572421,19.193157235014382,1.9193157235014382
UGC07608,data/SPARC/Rotmod\UGC07608_rotmod.dat,1,ok,8,20069.750171908698,1542.8842060004101,706.2095926051127,2.813251993951338,0.468875332325223
UGC07690,data/SPARC/Rotmod\UGC07690_rotmod.dat,2,ok,7,6034919.241909092,5.492313917080977,43.59336350984936,2.187917786259214,0.4375835572518428
UGC07866,data/SPARC/Rotmod\UGC07866_rotmod.dat,2,ok,7,5882.781714281632,1540.170523268297,381.67127006818544,0.17923870756162033,0.03584774151232407
UGC08286,data/SPARC/Rotmod\UGC08286_rotmod.dat,1,ok,17,12020254.670461068,6.5287765398620605,73.13376546086081,31.277101141558923,2.085140076103928
UGC08490,data/SPARC/Rotmod\UGC08490_rotmod.dat,1,ok,30,19311790.52411213,4.801153218308471,68.16887590022934,4.719662952699522,0.16855939116784008
UGC08550,data/SPARC/Rotmod\UGC08550_rotmod.dat,1,ok,11,5532920.581157935,7.257379213983313,55.1551830892264,4.843211145568216,0.5381345717298018
UGC08699,data/SPARC/Rotmod\UGC08699_rotmod.dat,2,ok,41,20069.750171908698,1563.7476378386064,715.75921119703,585.2008808153092,15.005150790136135
UGC08837,data/SPARC/Rotmod\UGC08837_rotmod.dat,2,boundary,8,2380.2550826686293,1584.893192461114,249.82796272631907,36.597808426064695,6.099634737677449
UGC09037,data/SPARC/Rotmod\UGC09037_rotmod.dat,2,boundary,22,0.6309573444801932,0.0031622776601683794,8.11576187406671e-06,813.1865602807865,40.659328014039325
UGC09133,data/SPARC/Rotmod\UGC09133_rotmod.dat,1,ok,68,176421.51968781996,155.25837840715204,210.69785828624586,5645.522712076508,85.53822291025011
UGC09992,data/SPARC/Rotmod\UGC09992_rotmod.dat,2,ok,5,45660384.92474012,0.8206230867356018,17.916072487137594,0.049452009401324035,0.01648400313377468
UGC10310,data/SPARC/Rotmod\UGC10310_rotmod.dat,1,ok,7,4095319.316071455,8.962857325149464,58.60297503079941,1.6736402046648953,0.33472804093297903
UGC11455,data/SPARC/Rotmod\UGC11455_rotmod.dat,1,boundary,36,1799.2782134800252,1584.893192461114,217.20932026161267,1407.8135105907686,41.4062797232579
UGC11557,data/SPARC/Rotmod\UGC11557_rotmod.dat,2,boundary,12,0.6309573444801932,0.0031622776601683794,8.11576187406671e-06,79.37975868717608,7.937975868717608
UGC11820,data/SPARC/Rotmod\UGC11820_rotmod.dat,1,ok,10,541038.0607167151,38.20411043075695,90.79319444113528,5.60617826925266,0.7007722836565825
UGC11914,data/SPARC/Rotmod\UGC11914_rotmod.dat,1,boundary,65,0.6309573444801932,0.0031622776601683794,8.11576187406671e-06,961.6180574240677,15.263778689270916
UGC12506,data/SPARC/Rotmod\UGC12506_rotmod.dat,2,ok,31,17336603.982608967,12.78579770314599,172.00423458829468,11.459462165138994,0.3951538677634136
UGC12632,data/SPARC/Rotmod\UGC12632_rotmod.dat,1,ok,15,3754661.101833958,9.773748558372533,61.18934856421822,3.8129105509237284,0.2933008116095176
UGC12732,data/SPARC/Rotmod\UGC12732_rotmod.dat,1,ok,16,1587310.4320203948,21.476187479489774,87.42133165394544,2.2431045060319454,0.16022175043085324
UGCA281,data/SPARC/Rotmod\UGCA281_rotmod.dat,3,ok,7,32973.71392216512,510.1779830793287,299.31945185942925,1.8967149308188844,0.3793429861637769
UGCA442,data/SPARC/Rotmod\UGCA442_rotmod.dat,1,ok,8,796929.0611307386,27.565569697944312,79.50713432223336,12.068584664469007,2.0114307774115012
UGCA444,data/SPARC/Rotmod\UGCA444_rotmod.dat,2,ok,36,28984.637001123152,525.029234404565,288.7996848201451,2.127611750741536,0.06257681619828047
