delta_em,D_over_H,Y_p,Li7_over_H,Be7_over_H,D_z,Y_z,Li_z,passes_D,passes_Y,passes_Li,passes_all
-0.0116,2.585782123698023e-05,0.24651,6.88198130818104e-11,6.120803796740441e-11,1.9594041232674355,0.0010309278350525773,2.876780223167406,False,True,False,False
-0.0115,2.5845800145225475e-05,0.246515,7.003475958636793e-11,6.222634855338433e-11,1.9193338174182493,0.001546391752578866,2.837588400439744,False,True,False,False
-0.0114,2.5833784641978952e-05,0.24652000000000002,7.127115478342896e-11,6.326160064711314e-11,1.879282139929839,0.0020618556701051545,2.797704684405517,False,True,False,False
-0.0113,2.5821774724642615e-05,0.246525,7.252937732868601e-11,6.431407610236782e-11,1.8392490821420495,0.002577319587628582,2.757116860364967,False,True,False,False
-0.0112,2.580977039061962e-05,0.24653,7.380981256262758e-11,6.53840614620919e-11,1.7992346353987352,0.0030927835051548706,2.715812497979755,False,True,False,False
-0.0111,2.579777163731433e-05,0.246535,7.511285262855178e-11,6.64718480364086e-11,1.7592387910477705,0.0036082474226811594,2.6737789474660714,False,True,False,False
-0.011,2.5785778462132312e-05,0.24654,7.643889659266318e-11,6.757773198193174e-11,1.7192615404410396,0.0041237113402074485,2.6310033357205422,False,True,False,False
-0.0109,2.577379086248034e-05,0.24654500000000001,7.778835056628983e-11,6.870201438239623e-11,1.6793028749344694,0.004639175257733737,2.587472562377747,False,True,False,False
-0.0108,2.57618088357664e-05,0.24655,7.916162783025832e-11,6.984500133062997e-11,1.6393627858879962,0.005154639175257164,2.5431732957981183,False,True,False,False
-0.0107,2.5749832379399674e-05,0.246555,8.05591489614641e-11,7.100700401188956e-11,1.5994412646655773,0.005670103092783453,2.4980919689850287,False,True,False,False
-0.0106,2.5737861490790557e-05,0.24656,8.198134196167629e-11,7.218833878858229e-11,1.5595383026351903,0.006185567010309741,2.4522147754297965,False,True,False,False
-0.0105,2.572589616735064e-05,0.246565,8.342864238861689e-11,7.338932728639797e-11,1.5196538911687993,0.00670103092783603,2.405527664883326,False,True,False,False
-0.0104,2.5713936406492717e-05,0.24657,8.490149348935355e-11,7.461029648187328e-11,1.4797880216423893,0.007216494845362319,2.358016339053111,False,True,False,False
-0.0103,2.5701982205630804e-05,0.24657500000000002,8.640034633604735e-11,7.585157879141328e-11,1.4399406854360108,0.007731958762888608,2.309666247224279,False,True,False,False
-0.0102,2.5690033562180084e-05,0.24658,8.792565996409739e-11,7.71135121617938e-11,1.4001118739336107,0.008247422680412035,2.2604625818033095,False,True,False,False
-0.0101,2.5678090473556974e-05,0.246585,8.947790151272396e-11,7.839644016216958e-11,1.3603015785232473,0.008762886597938323,2.210390273783098,False,True,False,False
-0.01,2.5666152937179076e-05,0.24659,9.105754636803327e-11,7.970071207761294e-11,1.3205097905969196,0.009278350515464611,2.159433988127959,False,True,False,False
-0.0099,2.56542209504652e-05,0.246595,9.266507830860853e-11,8.102668300420908e-11,1.2807365015506704,0.009793814432990901,2.107578119077144,False,True,False,False
-0.0098,2.5642294510835345e-05,0.2466,9.43009896536708e-11,8.237471394573291e-11,1.240981702784484,0.01030927835051719,2.0548067853654577,False,True,False,False
-0.0097,2.5630373615710727e-05,0.246605,9.596578141385545e-11,8.374517191193463e-11,1.2012453857024212,0.010824742268040618,2.0011038253595013,False,True,False,False
-0.0096,2.5618458262513736e-05,0.24661,9.765996344465083e-11,8.513843001846054e-11,1.1615275417124513,0.011340206185566906,1.9464527921080372,False,True,False,False
-0.0095,2.560654844866799e-05,0.246615,9.93840546025453e-11,8.655486758843588e-11,1.121828162226631,0.011855670103093194,1.8908369483049898,False,True,False,False
-0.0094,2.5594644171598275e-05,0.24662,1.0113858290393116e-10,8.799487025573801e-11,1.0821472386609143,0.012371134020619482,1.8342392611635108,False,True,False,False
-0.0093,2.5582745428730596e-05,0.246625,1.0292408568681382e-10,8.945883006998768e-11,1.0424847624353202,0.012886597938145773,1.776642397199554,False,True,False,False
-0.0092,2.5570852217492157e-05,0.24663000000000002,1.0474110977537574e-10,9.094714560328675e-11,1.0028407249738547,0.01340206185567206,1.7180287169233628,False,True,False,False
-0.0091,2.5558964535311326e-05,0.246635,1.0659021164744558e-10,9.246022205873208e-11,0.96321511770442,0.013917525773195487,1.6583802694372392,True,True,False,False
-0.009,2.554708237961771e-05,0.24664,1.0847195760492399e-10,9.399847138073455e-11,0.9236079320590298,0.014432989690721777,1.5976787869379354,True,True,False,False
-0.0089,2.5535205747842075e-05,0.246645,1.1038692394721783e-10,9.556231236717341e-11,0.8840191594735821,0.014948453608248065,1.5359056791220054,True,True,False,False
-0.0088,2.5523334637416402e-05,0.24665,1.1233569714773645e-10,9.715217078341659e-11,0.8444487913880073,0.015463917525774354,1.4730420274923723,True,True,False,False
-0.0087,2.5511469045773864e-05,0.246655,1.1431887403350387e-10,9.876847947823813e-11,0.8048968192462109,0.015979381443300644,1.409068579564391,True,True,False,False
-0.0086,2.5499608970348822e-05,0.24666,1.1633706196794151e-10,1.0041167850166363e-10,0.7653632344960739,0.01649484536082407,1.3439657429696286,True,True,False,False
-0.0085,2.5487754408576826e-05,0.246665,1.1839087903687808e-10,1.0208221522477684e-10,0.725848028589419,0.017010309278350358,1.2777135794555456,True,True,False,False
-0.0084,2.5475905357894627e-05,0.24667,1.204809542378433e-10,1.0378054446151907e-10,0.6863511929820891,0.017525773195876646,1.210291798779248,True,True,False,False
-0.0083,2.546406181574016e-05,0.246675,1.2260792767270308e-10,1.0550712859251511e-10,0.6468727191338691,0.018041237113402935,1.1416797524934488,True,True,False,False
-0.0082,2.5452223779552563e-05,0.24668,1.2477245074369602e-10,1.0726243769095927e-10,0.6074125985085416,0.018556701030929223,1.071856427622709,True,True,False,False
-0.0081,2.5440391246772153e-05,0.24668500000000002,1.2697518635293006e-10,1.0904694965059574e-10,0.567970822573842,0.019072164948455515,1.0008004402280624,True,True,False,False
-0.008,2.542856421484043e-05,0.24669,1.292168091054018e-10,1.108611503158279e-10,0.528547382801436,0.01958762886597894,0.9284900288580066,True,True,True,True
-0.0079,2.5416742681200113e-05,0.246695,1.3149800551559932e-10,1.1270553361399271e-10,0.4891422706670439,0.02010309278350523,0.8549030478838927,True,True,True,True
-0.0078,2.5404926643295078e-05,0.2467,1.3381947421775271e-10,1.1458060168983536e-10,0.4497554776502595,0.020618556701031517,0.7800169607176543,True,True,True,True
-0.0077,2.5393116098570403e-05,0.246705,1.361819261797962e-10,1.1648686504222126e-10,0.41038699523467487,0.021134020618557806,0.7038088329097995,True,True,True,True
-0.0076,2.5381311044472364e-05,0.24671,1.3858608492110777e-10,1.1842484266312258e-10,0.3710368149078798,0.021649484536084094,0.6262553251255557,True,True,True,True
-0.0075,2.5369511478448395e-05,0.24671500000000002,1.4103268673409236e-10,1.2039506217891694e-10,0.3317049281613156,0.022164948453610382,0.5473326859970206,True,True,True,True
-0.0074,2.535771739794715e-05,0.24672,1.4352248090967748e-10,1.2239805999403706e-10,0.29239132649050015,0.02268041237113381,0.46701674484911354,True,True,True,True
-0.0073,2.5345928800418445e-05,0.246725,1.4605622996678923e-10,1.244343814370101e-10,0.2530960013948143,0.0231958762886601,0.38528290429712136,True,True,True,True
-0.0072,2.533414568331329e-05,0.24673,1.486347098858797e-10,1.265045809089267e-10,0.2138189443776366,0.02371134020618639,0.30210613271355774,True,True,True,True
-0.0071,2.5322368044083893e-05,0.246735,1.5125871034657704e-10,1.286092220343801e-10,0.17456014694630978,0.024226804123712677,0.21746095656203088,True,True,True,True
-0.007,2.5310595880183622e-05,0.24674000000000001,1.539290349695312e-10,1.3074887781491653e-10,0.13531960061207296,0.024742268041238965,0.13132145259576805,True,True,True,True
-0.0069,2.529882918906704e-05,0.246745,1.566465015625287e-10,1.3292413078503833e-10,0.0960972968901293,0.025257731958762394,0.04366123991842856,True,True,True,True
-0.0068,2.5287067968189904e-05,0.24675,1.5941194237095296e-10,1.3513557317080257e-10,0.05689322729968005,0.025773195876288683,0.04554652809525697,True,True,True,True
-0.0067,2.5275312215009127e-05,0.246755,1.622262043326657e-10,1.373838070510582e-10,0.017707383363754964,0.02628865979381497,0.13632917202147427,True,True,True,True
-0.0066,2.5263561926982845e-05,0.24676,1.650901493373886e-10,1.3966944452136587e-10,0.021460243390516512,0.02680412371134126,0.22871449475447073,True,True,True,True
-0.0065,2.525181710157033e-05,0.246765,1.6800465449066345e-10,1.4199310786064465e-10,0.060609661432232835,0.027319587628867548,0.3227307900214018,True,True,True,True
-0.0064,2.5240077736232072e-05,0.24677000000000002,1.709706123824727e-10,1.4435542970059127e-10,0.09974087922642669,0.027835051546393836,0.41840685104750647,True,True,True,True
-0.0063,2.5228343828429716e-05,0.246775,1.739889313606022e-10,1.4675705319791813e-10,0.13885390523427962,0.028350515463917265,0.5157719793742644,True,True,True,True
-0.0062,2.5216615375626104e-05,0.24678,1.7706053580882965e-10,1.491986322094565e-10,0.1779487479129864,0.028865979381443554,0.6148559938332145,True,True,True,True
-0.0061,2.5204892375285253e-05,0.246785,1.8018636643002446e-10,1.5168083147017322e-10,0.21702541571582293,0.029381443298969842,0.7156892396782083,True,True,True,True
-0.006,2.519317482487235e-05,0.24679,1.833673805342454e-10,1.5420432677414898e-10,0.25608391709216877,0.02989690721649613,0.8183025978788838,True,True,True,True
-0.0059,2.5181462721853775e-05,0.24679500000000001,1.8660455233192416e-10,1.5676980515856711e-10,0.29512426048741663,0.03041237113402242,0.9227274945781987,True,True,True,True
