series,phi_probe_cycles,P_down,P_down_err,
start in $|\uparrow\rangle$,0.2702702702702703,0.5233333333333333,0.03044973839170845,
start in $|\uparrow\rangle$,0.2837837837837838,0.4766666666666667,0.03044973839170845,
start in $|\uparrow\rangle$,0.2972972972972973,0.4833333333333333,0.03046508780324825,
start in $|\uparrow\rangle$,0.3108108108108109,0.4833333333333333,0.03046508780324825,
start in $|\uparrow\rangle$,0.3243243243243243,0.4566666666666667,0.03037286824249946,
start in $|\uparrow\rangle$,0.3378378378378378,0.5433333333333333,0.03037286824249946,
start in $|\uparrow\rangle$,0.3513513513513514,0.5166666666666667,0.03046508780324825,
start in $|\uparrow\rangle$,0.3648648648648649,0.48,0.03045805367192034,
start in $|\uparrow\rangle$,0.3783783783783784,0.5033333333333333,0.03048042903929968,
start in $|\uparrow\rangle$,0.3918918918918919,0.5133333333333333,0.03047084172413086,
start in $|\uparrow\rangle$,0.4054054054054054,0.52,0.03045805367192034,
start in $|\uparrow\rangle$,0.418918918918919,0.4566666666666667,0.03037286824249946,
start in $|\uparrow\rangle$,0.4324324324324325,0.5266666666666666,0.03044014085206886,
start in $|\uparrow\rangle$,0.4459459459459459,0.48,0.03045805367192034,
start in $|\uparrow\rangle$,0.4594594594594595,0.52,0.03045805367192034,
start in $|\uparrow\rangle$,0.472972972972973,0.5333333333333333,0.0304170936872295,
start in $|\uparrow\rangle$,0.4864864864864865,0.5066666666666667,0.03047851183144154,
start in $|\uparrow\rangle$,0.5,0.57,0.03019786261458857,
start in $|\uparrow\rangle$,0.5135135135135136,0.4533333333333333,0.03035554407840796,
start in $|\uparrow\rangle$,0.5270270270270271,0.5166666666666667,0.03046508780324825,
start in $|\uparrow\rangle$,0.5405405405405406,0.42,0.03011060344182495,
start in $|\uparrow\rangle$,0.5540540540540541,0.3266666666666667,0.02869795749990708,
start in $|\uparrow\rangle$,0.5675675675675675,0.29,0.02782207616051605,
start in $|\uparrow\rangle$,0.5810810810810811,0.1433333333333333,0.02188178370477967,
start in $|\uparrow\rangle$,0.5945945945945946,0.1566666666666667,0.02263291946380917,
start in $|\uparrow\rangle$,0.6081081081081081,0.1966666666666667,0.02458636643486047,
start in $|\uparrow\rangle$,0.6216216216216217,0.2466666666666667,0.02651743778950724,
start in $|\uparrow\rangle$,0.6351351351351352,0.38,0.02964062537174963,
start in $|\uparrow\rangle$,0.6486486486486487,0.4233333333333333,0.03014101289885385,
start in $|\uparrow\rangle$,0.6621621621621622,0.52,0.03045805367192034,
start in $|\uparrow\rangle$,0.6756756756756757,0.5233333333333333,0.03044973839170845,
start in $|\uparrow\rangle$,0.6891891891891893,0.5133333333333333,0.03047084172413086,
start in $|\uparrow\rangle$,0.7027027027027027,0.5366666666666666,0.03040364097313963,
start in $|\uparrow\rangle$,0.7162162162162162,0.5066666666666667,0.03047851183144154,
start in $|\uparrow\rangle$,0.7297297297297298,0.4833333333333333,0.03046508780324825,
start in $|\uparrow\rangle$,0.7432432432432433,0.48,0.03045805367192034,
start in $|\uparrow\rangle$,0.7567567567567568,0.4966666666666666,0.03048042903929973,
start in $|\uparrow\rangle$,0.7702702702702703,0.4666666666666667,0.03041709368722953,
start in $|\uparrow\rangle$,0.7837837837837838,0.5133333333333333,0.03047084172413086,
start in $|\uparrow\rangle$,0.7972972972972974,0.5066666666666667,0.03047851183144154,
