t_sqz_us,$\Delta$ = 50 kHz,$\Delta$ = 100 kHz,eta^2
535.3535353535353,1.499509178716172,0.7383549235775859,0.5460393506152127
545.4545454545454,1.527801804729685,0.7522861485507479,0.5563419798721035
555.5555555555555,1.556094430743198,0.76621737352391,0.5666446091289944
565.6565656565656,1.58438705675671,0.7801485984970719,0.5769472383858851
575.7575757575758,1.612679682770223,0.794079823470234,0.587249867642776
585.8585858585858,1.640972308783736,0.8080110484433959,0.5975524968996667
595.959595959596,1.669264934797248,0.821942273416558,0.6078551261565576
606.060606060606,1.697557560810761,0.8358734983897199,0.6181577554134483
616.1616161616162,1.725850186824274,0.849804723362882,0.6284603846703393
626.2626262626262,1.754142812837786,0.863735948336044,0.63876301392723
636.3636363636364,1.782435438851299,0.877667173309206,0.6490656431841209
646.4646464646464,1.810728064864812,0.891598398282368,0.6593682724410116
656.5656565656565,1.839020690878324,0.9055296232555299,0.6696709016979023
666.6666666666666,1.867313316891837,0.9194608482286919,0.6799735309547932
676.7676767676767,1.89560594290535,0.9333920732018539,0.6902761602116839
686.8686868686868,1.923898568918863,0.9473232981750159,0.7005787894685749
696.9696969696969,1.952191194932375,0.9612545231481778,0.7108814187254656
707.070707070707,1.980483820945888,0.97518574812134,0.7211840479823565
717.1717171717171,2.0087764469594,0.9891169730945019,0.7314866772392472
727.2727272727273,2.037069072972913,1.003048198067664,0.7417893064961381
737.3737373737373,2.065361698986426,1.016979423040826,0.7520919357530288
747.4747474747475,2.093654324999939,1.030910648013988,0.7623945650099196
757.5757575757575,2.121946951013451,1.04484187298715,0.7726971942668104
767.6767676767677,2.150239577026964,1.058773097960312,0.7829998235237013
777.7777777777777,2.178532203040477,1.072704322933474,0.7933024527805921
787.8787878787879,2.20682482905399,1.086635547906636,0.8036050820374829
797.9797979797979,2.235117455067502,1.100566772879798,0.8139077112943737
808.0808080808081,2.263410081081015,1.11449799785296,0.8242103405512645
818.1818181818181,2.291702707094527,1.128429222826122,0.8345129698081553
828.2828282828282,2.31999533310804,1.142360447799284,0.844815599065046
838.3838383838383,2.348287959121553,1.156291672772446,0.855118228321937
848.4848484848484,2.376580585135065,1.170222897745608,0.8654208575788277
858.5858585858585,2.404873211148578,1.18415412271877,0.8757234868357185
868.6868686868686,2.433165837162091,1.198085347691932,0.8860261160926093
878.7878787878788,2.461458463175604,1.212016572665094,0.8963287453495001
888.8888888888888,2.489751089189116,1.225947797638256,0.9066313746063909
898.989898989899,2.518043715202629,1.239879022611418,0.9169340038632817
909.090909090909,2.546336341216141,1.25381024758458,0.9272366331201726
919.1919191919192,2.574628967229654,1.267741472557742,0.9375392623770634
929.2929292929292,2.602921593243167,1.281672697530904,0.9478418916339542
939.3939393939394,2.63121421925668,1.295603922504066,0.958144520890845
949.4949494949494,2.659506845270192,1.309535147477228,0.9684471501477357
