phi_probe_cycles_down,P_down_fit,phi_probe_cycles_up,P_up_fit
0.2157944862155389,0.5001121473324966,-0.03420551378446113,0.4998878526675034
0.2183007518796993,0.5001422702467119,-0.03169924812030073,0.4998577297532881
0.2208070175438596,0.5001805642665674,-0.02919298245614035,0.4998194357334326
0.22331328320802,0.5002292131061632,-0.02668671679197995,0.4997707868938368
0.2258195488721804,0.5002909606366173,-0.02418045112781955,0.4997090393633827
0.2283258145363408,0.5003692439896841,-0.02167418546365915,0.4996307560103159
0.2308320802005013,0.5004683541818714,-0.01916791979949872,0.4995316458181286
0.2333383458646617,0.5005936284726413,-0.01666165413533832,0.4994063715273587
0.2358446115288221,0.5007516787931867,-0.01415538847117795,0.4992483212068133
0.2383508771929825,0.5009506604931646,-0.01164912280701755,0.4990493395068354
0.2408571428571429,0.5012005852630798,-0.009142857142857147,0.4987994147369202
0.2433634085213033,0.5015136812948569,-0.006636591478696746,0.4984863187051431
0.2458696741854637,0.5019048024233501,-0.004130325814536345,0.4980951975766499
0.2483759398496241,0.5023918860180338,-0.001624060150375917,0.4976081139819662
0.2508822055137845,0.502996456635598,0.0008822055137844842,0.497003543364402
0.2533884711779449,0.5037441687784586,0.003388471177944885,0.4962558312215414
0.2558947368421053,0.5046653774340437,0.005894736842105286,0.4953346225659563
0.2584010025062656,0.5057957193430528,0.008401002506265631,0.4942042806569472
0.2609072681704261,0.5071766811792573,0.01090726817042609,0.4928233188207427
0.2634135338345864,0.5088561231336324,0.01341353383458643,0.4911438768663676
0.2659197994987469,0.510888718022723,0.01591979949874689,0.489111281977277
0.2684260651629072,0.5133362573796751,0.01842606516290723,0.4866637426203249
0.2709323308270677,0.5162677676060197,0.02093233082706769,0.4837322323939803
0.273438596491228,0.519759371918943,0.02343859649122804,0.4802406280810571
0.2759448621553885,0.5238938284591307,0.02594486215538849,0.4761061715408693
0.2784511278195488,0.5287596726183659,0.02845112781954884,0.4712403273816341
0.2809573934837093,0.5344498935923615,0.03095739348370929,0.4655501064076385
0.2834636591478697,0.5410600825638239,0.0334636591478697,0.4589399174361761
0.2859699248120301,0.5486860038695832,0.0359699248120301,0.4513139961304168
0.2884761904761905,0.5574205618491382,0.0384761904761905,0.4425794381508618
0.2909824561403509,0.5673501652391028,0.0409824561403509,0.4326498347608972
0.2934887218045113,0.5785505278098062,0.0434887218045113,0.4214494721901938
0.2959949874686717,0.591081987531845,0.0459949874686717,0.408918012468155
0.2985012531328321,0.6049844751410208,0.0485012531328321,0.3950155248589792
0.3010075187969925,0.6202723138471345,0.0510075187969925,0.3797276861528655
0.3035137844611528,0.6369290815245893,0.05351378446115285,0.3630709184754107
0.3060200501253133,0.6549028107051013,0.0560200501253133,0.3450971892948987
0.3085263157894736,0.6741018352600059,0.05852631578947365,0.3258981647399941
0.3110325814536341,0.6943916109110604,0.0610325814536341,0.3056083890889396
0.3135388471177945,0.7155928351311787,0.06353884711779445,0.2844071648688213
0.3160451127819549,0.7374811670093803,0.0660451127819549,0.2625188329906197
0.3185513784461153,0.7597887971600067,0.06855137844611531,0.2402112028399933
0.3210576441102757,0.7822080416314651,0.07105764411027571,0.2177919583685349
0.3235639097744361,0.804397034220861,0.07356390977443611,0.195602965779139
0.3260701754385965,0.825987473317619,0.07607017543859651,0.174012526682381
0.3285764411027569,0.8465942494512959,0.07857644110275691,0.1534057505487041
0.3310827067669173,0.8658266471682501,0.08108270676691731,0.1341733528317499
0.3335889724310777,0.8833006900977051,0.08358897243107771,0.1166993099022949
0.3360952380952381,0.898652091907493,0.08609523809523811,0.101347908092507
0.3386015037593985,0.9115491984905236,0.08860150375939851,0.08845080150947637
0.3411077694235589,0.9217052666536948,0.09110776942355892,0.07829473334630521
0.3436140350877193,0.9288894275857273,0.09361403508771926,0.07111057241427265
0.3461203007518797,0.9329357317621969,0.09612030075187972,0.06706426823780309
0.3486265664160401,0.9337497640818757,0.09862656641604006,0.06625023591812429
0.3511328320802005,0.9313124483312429,0.1011328320802005,0.06868755166875706
0.3536390977443609,0.9256808193870982,0.1036390977443609,0.07431918061290177
0.3561453634085213,0.9169857179627454,0.1061453634085213,0.08301428203725458
0.3586516290726817,0.9054265426005084,0.1086516290726817,0.09457345739949163
0.3611578947368421,0.8912633630911153,0.1111578947368421,0.1087366369088847
0.3636641604010026,0.8748068456491782,0.1136641604010026,0.1251931543508218
0.3661704260651629,0.8564065523290116,0.1161704260651629,0.1435934476709884
0.3686766917293234,0.8364382478786799,0.1186766917293234,0.1635617521213201
0.3711829573934837,0.8152908728750206,0.1211829573934837,0.1847091271249794
0.3736892230576441,0.7933538229298769,0.1236892230576441,0.2066461770701231
0.3761954887218045,0.7710051141300485,0.1261954887218045,0.2289948858699515
0.3787017543859649,0.7486009219207493,0.1287017543859649,0.2513990780792507
0.3812080200501253,0.7264668638411379,0.1312080200501253,0.2735331361588621
0.3837142857142857,0.7048912665144127,0.1337142857142857,0.2951087334855873
0.3862205513784461,0.6841205248114379,0.1362205513784461,0.3158794751885621
0.3887268170426065,0.6643565359705792,0.1387268170426065,0.3356434640294208
0.3912330827067669,0.6457560817996882,0.1412330827067669,0.3542439182003118
0.3937393483709273,0.6284319438191166,0.1437393483709273,0.3715680561808834
0.3962456140350877,0.6124554727712165,0.1462456140350877,0.3875445272287835
0.3987518796992482,0.5978602963301846,0.1487518796992482,0.4021397036698154
0.4012581453634085,0.5846468359312356,0.1512581453634085,0.4153531640687644
0.403764411027569,0.5727873124940892,0.153764411027569,0.4272126875059108
0.4062706766917293,0.5622309473256841,0.1562706766917293,0.4377690526743159
0.4087769423558898,0.5529091038787021,0.1587769423558898,0.4470908961212979
0.4112832080200501,0.5447401634082218,0.1612832080200501,0.4552598365917782
0.4137894736842105,0.537633978302503,0.1637894736842105,0.462366021697497
0.4162957393483709,0.5314957969868358,0.1662957393483709,0.4685042030131642
0.4188020050125313,0.5262296006640663,0.1688020050125313,0.4737703993359337
0.4213082706766917,0.5217408325320884,0.1713082706766917,0.4782591674679116
0.4238145363408522,0.5179385331811508,0.1738145363408522,0.4820614668188492
0.4263208020050125,0.5147369211083166,0.1763208020050125,0.4852630788916834
0.4288270676691729,0.5120564748489064,0.1788270676691729,0.4879435251510936
0.4313333333333333,0.5098245837738908,0.1813333333333333,0.4901754162261092
0.4338395989974938,0.5079758391284221,0.1838395989974938,0.4920241608715779
0.4363458646616541,0.5064520365551589,0.1863458646616541,0.4935479634448411
0.4388521303258145,0.505201957364221,0.1888521303258145,0.494798042635779
0.4413583959899749,0.5041809893274932,0.1913583959899749,0.4958190106725068
0.4438646616541354,0.5033506398070061,0.1938646616541354,0.4966493601929939
0.4463709273182958,0.5026779854234612,0.1963709273182958,0.4973220145765388
0.4488771929824561,0.5021350938939322,0.1988771929824561,0.4978649061060678
0.4513834586466166,0.5016984455973164,0.2013834586466166,0.4983015544026836
0.453889724310777,0.5013483751768381,0.203889724310777,0.4986516248231619
0.4563959899749374,0.5010685472351665,0.2063959899749374,0.4989314527648335
0.4589022556390977,0.5008454749820733,0.2089022556390977,0.4991545250179267
0.4614085213032582,0.5006680865364903,0.2114085213032582,0.4993319134635097
0.4639147869674185,0.5005273403868397,0.2139147869674185,0.4994726596131603
0.466421052631579,0.5004158891636625,0.216421052631579,0.4995841108363375
0.4689273182957394,0.5003277892484125,0.2189273182957394,0.4996722107515875
0.4714335839598998,0.5002582527004652,0.2214335839598998,0.4997417472995348
0.4739398496240601,0.500203437406046,0.2239398496240601,0.499796562593954
0.4764461152882206,0.5001602711254971,0.2264461152882206,0.4998397288745029
0.478952380952381,0.5001263051422248,0.228952380952381,0.4998736948577752
0.4814586466165414,0.5000995934175535,0.2314586466165414,0.4999004065824465
0.4839649122807017,0.5000785934664103,0.2339649122807017,0.4999214065335897
0.4864711779448622,0.5000620855398794,0.2364711779448622,0.4999379144601206
0.4889774436090226,0.5000491070956112,0.2389774436090226,0.4999508929043888
0.491483709273183,0.5000388999299575,0.241483709273183,0.4999611000700425
0.4939899749373433,0.5000308677192725,0.2439899749373433,0.4999691322807275
0.4964962406015038,0.5000245420615219,0.2464962406015038,0.4999754579384781
0.4990025062656642,0.50001955541762,0.2490025062656642,0.49998044458238
0.5015087719298246,0.5000156196228736,0.2515087719298246,0.4999843803771264
0.504015037593985,0.5000125088730885,0.254015037593985,0.4999874911269115
0.5065213032581454,0.5000100462894527,0.2565213032581454,0.4999899537105473
0.5090275689223057,0.5000080933343137,0.2590275689223057,0.4999919066656863
