Pump Power  H,Conversion Efficiency H,Pump Power  V,Conversion Efficiency V,Fit x H,Fit y H,Fit x V,Fit y V
,,,,111.640940940941,21.8588392962952,104.928928928929,20.5723159793845
,,,,112.44044044044,21.9927340410894,105,20.5842721623601
,,,,113.23993993994,22.126325421588,105.600600600601,20.6852094707869
,,,,114.039439439439,22.2596138206016,106.272272272272,20.7978775359872
,,,,114.838938938939,22.3925996206036,106.943943943944,20.9103204259543
,,,,115,22.4193533379749,107.615615615616,21.0225383914621
,,,,115.638438438438,22.5252832037302,108.287287287287,21.1345316830894
,,,,116.437937937938,22.6576649517811,108.958958958959,21.2463005512204
,,,,117.237437437437,22.7897452462193,109.630630630631,21.3578452460442
,,,,118.036936936937,22.9215244681717,110.302302302302,21.4691660175555
,,,,118.836436436436,23.053002998429,110.973973973974,21.5802631155544
,,,,119.635935935936,23.1841812174461,111.645645645646,21.6911367896466
,,,,120.435435435435,23.3150595053423,112.317317317317,21.8017872892437
,,,,121.234934934935,23.4456382419016,112.988988988989,21.9122148635629
,,,,122.034434434434,23.5759178065728,113.660660660661,22.0224197616273
,,,,122.833933933934,23.7058985784697,114.332332332332,22.1324022322664
,,,,123.633433433433,23.8355809363716,115.004004004004,22.2421625241156
,,,,124.432932932933,23.9649652587231,115.675675675676,22.3517008856167
,,,,125.232432432432,24.0940519236347,116.347347347347,22.4610175650179
,,,,126.031931931932,24.222841308883,117.019019019019,22.5701128103739
,,,,126.831431431431,24.3513337919105,117.690690690691,22.6789868695462
,,,,127.630930930931,24.4795297498265,118.362362362362,22.7876399902028
,,,,128.43043043043,24.6074295594067,119.034034034034,22.8960724198188
,,,,129.22992992993,24.7350335970939,119.705705705706,23.0042844056762
,,,,130.029429429429,24.8623422389979,120.377377377377,23.1122761948641
,,,,130.828928928929,24.9893558608958,121.049049049049,23.220048034279
,,,,131.628428428428,25.1160748382325,121.720720720721,23.3276001706245
,,,,132.427927927928,25.2424995461204,122.392392392392,23.4349328504118
,,,,133,25.3327807926446,123.064064064064,23.5420463199596
,,,,133.227427427427,25.3686303593402,123.735735735736,23.6489408253944
,,,,134.026926926927,25.4944676523406,124.407407407407,23.7556166126503
,,,,134.826426426426,25.6200117992391,125,23.8495515435792
,,,,135.625925925926,25.7452631738217,125.079079079079,23.8620739274696
,,,,136.425425425425,25.8702221495432,125.750750750751,23.9683130154025
,,,,137.224924924925,25.9948890995278,126.422422422422,24.0743341218072
,,,,138.024424424424,26.1192643965691,127.094094094094,24.1801374918504
,,,,138.823923923924,26.24334841313,127.765765765766,24.2857233705071
,,,,139.623423423423,26.3671415213436,128.437437437437,24.3910920025607
,,,,140.422922922923,26.4906440930128,129.109109109109,24.4962436326034
,,,,141.222422422422,26.6138564996109,129.780780780781,24.601178505036
,,,,142.021921921922,26.7367791122817,130.452452452452,24.7058968640681
,,,,142.821421421421,26.8594123018396,131.124124124124,24.8103989537184
,,,,143.620920920921,26.9817564387702,131.795795795796,24.9146850178146
,,,,144.42042042042,27.10381189323,132.467467467467,25.0187552999935
,,,,145.21991991992,27.225579035047,133.139139139139,25.1226100437013
,,,,146.019419419419,27.3470582337211,133.810810810811,25.2262494921937
,,,,146.818918918919,27.4682498584236,134.482482482483,25.3296738885356
,,,,147.618418418418,27.5891542779981,135.154154154154,25.432883475602
,,,,148.417917917918,27.7097718609606,135.825825825826,25.5358784960774
,,,,149.217417417417,27.8301029754994,136.497497497498,25.638659192456
,,,,150.016916916917,27.9501479894757,137.169169169169,25.7412258070424
,,,,150.816416416416,28.0699072704236,137.840840840841,25.843578581951
,,,,151.615915915916,28.1893811855504,138.512512512513,25.9457177591066
,,,,152.415415415415,28.3085701017369,139.184184184184,26.0476435802441
,,,,153.214914914915,28.4274743855373,139.855855855856,26.149356286909
,,,,154.014414414414,28.5460944031798,140.527527527528,26.2508561204574
,,,,154.813913913914,28.6644305205669,141.199199199199,26.352143322056
,,,,155.613413413413,28.7824831032751,141.870870870871,26.4532181326823
,,,,156,28.8394641595911,142.542542542543,26.5540807931247
,,,,156.412912912913,28.9002525165554,143.214214214214,26.6547315439826
,,,,157.212412412412,29.0177391253338,143.885885885886,26.7551706256666
,,,,158.011911911912,29.1349432942112,144.557557557558,26.8553982783984
,,,,158.811411411411,29.2518653874634,145.229229229229,26.9554147422111
,,,,159.610910910911,29.3685057690421,145.900900900901,27.0552202569495
,,,,160.41041041041,29.4848648025743,146.572572572573,27.1548150622696
,,,,161.20990990991,29.6009428513628,147.244244244244,27.2541993976393
,,,,162.009409409409,29.7167402783868,147.915915915916,27.3533735023384
,,,,162.808908908909,29.8322574463016,148.587587587588,27.4523376154585
,,,,163.608408408408,29.947494717439,149,27.5129985164955
,,,,164.407907907908,30.0624524538075,149.259259259259,27.5510919759033
,,,,165.207407407407,30.1771310170928,149.930930930931,27.6496368223884
,,,,166.006906906907,30.2915307686575,150.602602602603,27.7479723934421
,,,,166.806406406406,30.4056520695419,151.274274274274,27.8460989274047
,,,,167.605905905906,30.5194952804636,151.945945945946,27.9440166624292
,,,,168.405405405405,30.6330607618182,152.617617617618,28.0417258364812
,,,,169.204904904905,30.7463488736795,153.289289289289,28.1392266873388
,,,,170.004404404404,30.8593599757994,153.960960960961,28.2365194525932
,,,,170.803903903904,30.9720944276084,154.632632632633,28.3336043696484
,,,,171.603403403403,31.0845525882156,155.304304304304,28.4304816757214
,,,,172.402902902903,31.1967348164093,155.975975975976,28.5271516078426
,,,,173.202402402402,31.3086414706566,156.647647647648,28.6236144028554
,,,,174.001901901902,31.4202729091043,157.319319319319,28.7198702974167
,,,,174.801401401401,31.5316294895788,157.990990990991,28.815919527997
,,,,175.600900900901,31.6427115695861,158.662662662663,28.9117623308804
,,,,176.4004004004,31.7535195063123,159.334334334334,29.0073989421645
,,,,177.1998998999,31.864053656624,160.006006006006,29.102829597761
,,,,177.999399399399,31.974314377068,160.677677677678,29.1980545333954
,,,,178.798898898899,32.084302023872,161.349349349349,29.2930739846075
,,,,179,32.111924688138,162.021021021021,29.387888186751
,,,,179.598398398398,32.1940169529444,162.692692692693,29.482497374994
,,,,180.397897897898,32.303459519875,163.364364364364,29.576901784319
,,,,181.197397397397,32.4126300799348,164,29.6660528962006
,,,,181.996896896897,32.5215289880764,164.036036036036,29.6711016495232
,,,,182.796396396396,32.6301565989342,164.707707707708,29.765097205218
,,,,183.595895895896,32.7385132668246,165.379379379379,29.8588886858299
,,,,184.395395395395,32.8465993457462,166.051051051051,29.9524763256002
,,,,185.194894894895,32.9544151893802,166.722722722723,30.0458603585851
,,,,185.994394394394,33.0619611510903,167.394394394394,30.1390410186559
,,,,186.793893893894,33.1692375839231,168.066066066066,30.232018539499
,,,,187.593393393393,33.2762448406083,168.737737737738,30.3247931546162
,,,,188.392892892893,33.3829832735591,169.409409409409,30.4173650973247
,,,,189.192392392392,33.489453234872,170.081081081081,30.5097346007573
,,,,189.991891891892,33.5956550763274,170.752752752753,30.6019018978623
,,,,190.791391391391,33.7015891493895,171.424424424424,30.6938672214037
,,,,191.590890890891,33.807255805207,172.096096096096,30.7856308039615
,,,,192.39039039039,33.9126553946126,172.767767767768,30.8771928779317
,,,,193.18988988989,34.017788268124,173.439439439439,30.9685536755262
,,,,193.989389389389,34.1226547759435,174.111111111111,31.0597134287733
,,,,194,34.1240447293302,174.782782782783,31.1506723695174
,,,,194.788888888889,34.2272552679584,175.454454454454,31.2414307294194
,,,,195.588388388388,34.3315900937416,176.126126126126,31.3319887399569
,,,,196.387887887888,34.4356596025511,176.797797797798,31.4223466324238
,,,,197.187387387387,34.5394641433309,177.469469469469,31.5125046379309
,,,,197.986886886887,34.6430040647108,178.141141141141,31.6024629874061
,,,,198.786386386386,34.7462797150066,178.812812812813,31.6922219115938
,,,,199.585885885886,34.8492914422207,179.484484484485,31.7817816410559
,,,,200.385385385385,34.9520395940418,180.156156156156,31.8711424061712
,,,,201.184884884885,35.0545245178458,180.827827827828,31.960304437136
,,,,201.984384384384,35.156746560695,181.4994994995,32.049267963964
,,,,202.783883883884,35.2587060693395,182.171171171171,32.1380332164862
,,,,203.583383383383,35.3604033902164,182.842842842843,32.2266004243515
,,,,204.382882882883,35.4618388694506,183.514514514515,32.3149698170264
,,,,205.182382382382,35.563012852855,184.186186186186,32.4031416237954
,,,,205.981881881882,35.6639256859303,184.857857857858,32.4911160737607
,,,,206.781381381381,35.7645777138656,185.52952952953,32.5788933958428
,,,,207.580880880881,35.8649692815387,186,32.6402594917604
,,,,208.38038038038,35.9651007335157,186.201201201201,32.6664738187803
,,,,209.17987987988,36.0649724140521,186.872872872873,32.7538575711302
,,,,209.979379379379,36.1645846670921,187.544544544545,32.8410448812677
,,,,210.778878878879,36.2639378362696,188.216216216216,32.9280359773868
,,,,211.578378378378,36.3630322649078,188.887887887888,33.0148310874998
,,,,212.377877877878,36.46186829602,189.55955955956,33.1014304394381
,,,,213.177377377377,36.5604462723092,190.231231231231,33.1878342608516
,,,,213.976876876877,36.6587665361688,190.902902902903,33.2740427792093
,,,,214.776376376376,36.7568294296825,191.574574574575,33.3600562217994
,,,,215.575875875876,36.8546352946247,192.246246246246,33.4458748157291
,,,,216.375375375375,36.9521844724608,192.917917917918,33.5314987879249
,,,,217,37.0282182865691,193.58958958959,33.6169283651328
,,,,217.174874874875,37.0494773043469,194.261261261261,33.7021637739182
,,,,217.974374374374,37.1465141311308,194.932932932933,33.7872052406662
,,,,218.773873873874,37.2432952933514,195.604604604605,33.8720529915816
,,,,219.573373373373,37.3398211312396,196.276276276276,33.956707252689
