delta_em,li_scale,be_scale,D_over_H,Y_p,Li7_over_H,Be7_over_H,Li_total_over_H,D_z,Y_z,Li7_z,Li_total_z,passes_D,passes_Y,passes_Li7,passes_Li_total,passes_all_direct,passes_all_total
-0.00703,1.0,1.0,2.5314126954595618e-05,0.2467385,1.5312302516298626e-10,1.3010327006715818e-10,2.8322629523014445e-10,0.14708984865205924,0.02458762886597965,0.15732176893592686,4.039557910649821,True,True,True,False,True,False
-0.00702,1.0,1.0,2.531294987505954e-05,0.246739,1.533912250634876e-10,1.3031811766329224e-10,2.837093427267798e-10,0.14316625019846482,0.02463917525773371,0.14867015924233576,4.0551400879606385,True,True,True,False,True,False
-0.00701,1.0,1.0,2.531177285025639e-05,0.2467395,1.5365989472473555e-10,1.305333200505822e-10,2.8419321477531777e-10,0.1392428341879633,0.024690721649484906,0.14000339597627237,4.070748863719928,True,True,True,False,True,False
-0.007,1.0,1.0,2.5310595880183622e-05,0.24674000000000001,1.539290349695312e-10,1.3074887781491653e-10,2.846779127844477e-10,0.13531960061207296,0.024742268041238965,0.13132145259576805,4.086384283369281,True,True,True,False,True,False
-0.00699,1.0,1.0,2.5309418964838684e-05,0.2467405,1.5419864662211678e-10,1.3096479154315154e-10,2.851634381652683e-10,0.13139654946227833,0.024793814432990165,0.12262430251236196,4.10204639242801,True,True,True,False,True,False
-0.00698,1.0,1.0,2.5308242104219043e-05,0.24674100000000002,1.5446873050817811e-10,1.3118106182311237e-10,2.856497923312905e-10,0.12747368073014298,0.024845360824744225,0.1139119190910285,4.1177352364932425,True,True,True,False,True,False
-0.00697,1.0,1.0,2.5307065298322146e-05,0.2467415,1.5473928745484742e-10,1.3139768924359506e-10,2.861369766984425e-10,0.12355099440715138,0.02489690721649542,0.10518427565008308,4.13345086124008,True,True,True,False,True,False
-0.00696,1.0,1.0,2.5305888547145447e-05,0.24674200000000002,1.5501031829070542e-10,1.3161467439436786e-10,2.866249926850733e-10,0.11962849048482194,0.02494845360824948,0.0964413454611154,4.149193312421718,True,True,True,False,True,False
-0.00695,1.0,1.0,2.5304711850686412e-05,0.2467425,1.552818238457844e-10,1.3183201786617302e-10,2.871138417119574e-10,0.11570616895470687,0.025000000000000678,0.08768310174889021,4.1649626358695935,True,True,True,False,True,False
-0.00694,1.0,1.0,2.530353520894249e-05,0.24674300000000002,1.5555380495157024e-10,1.3204972025072823e-10,2.876035252022985e-10,0.111784029808302,0.02505154639175474,0.07890951769128238,4.1807588774935,True,True,True,False,True,False
-0.00693,1.0,1.0,2.530235862191113e-05,0.2467435,1.5582626244100531e-10,1.322677821407284e-10,2.880940445817337e-10,0.1078620730371031,0.025103092783505938,0.07012056641918331,4.196582083281732,True,True,True,False,True,False
