epsilon,delta_em,pi_cosmo,G_eff_cosmo,F_temps_cosmo,omega_m_eff,H_ratio_z0,H_ratio_z05,H_ratio_z1,H_ratio_z2,DA_rec,DL_z0_5,DL_z1,f_sigma8_proxy_z0,f_sigma8_proxy_z05,f_sigma8_proxy_z1,first_peak_shift,chi_sn,chi_bao,chi_cmb,chi_growth,chi_total,passes_bbn,passes_cosmo,passes_all
-0.0074,-0.0074,0.1,1.00888,0.9933840621461069,0.319913729352,1.0111196917663745,1.0111196917663743,1.0111196917663743,1.0111196917663745,10.26842092348023,2894.6483855550746,6726.889352955911,0.5301847170932372,0.7609567153159694,0.8762722611612899,0.00666000000000011,0.5495446443518868,2223.028508190582,6.258969462667696,32.904740458426346,2262.741762756028,True,False,False
-0.0073,-0.0073,0.0,1.0,1.0,0.315,1.0,1.0,1.0,1.0,10.38260259907672,2926.835983374479,6801.690289107283,0.5297498038588546,0.7606879137410921,0.8761225909176094,0.0,0.0,2222.2222222222226,5.535026856094648,32.86116290607792,2260.618411984395,True,False,False
-0.0073,-0.0073,0.01,1.000876,0.9993434313655929,0.31548307629258,1.0010951918229976,1.0010951918229978,1.0010951918229978,1.0010951918229976,10.371244097346999,2923.6340432768447,6794.249282849307,0.5297926915958391,0.7607144264312388,0.8761373545482739,0.0006569999999999077,0.005330867240715333,2222.2302010368485,5.595649113956781,32.865457204448205,2260.6966382224946,True,False,False
-0.0073,-0.0073,0.03,1.002628,0.9980328771990408,0.31645031663322,1.0032867260291856,1.0032867260291858,1.0032867260291856,1.0032867260291856,10.348589620206623,2917.247789132355,6779.408231609986,0.5298784774864667,0.76076745458375,0.8761668825559578,0.001970999999999945,0.04801141329300554,2222.2937682648003,5.7239918830959065,32.874048799822674,2260.9398203610117,True,False,False
-0.0073,-0.0073,0.1,1.00876,0.9934728831576543,0.319847079258,1.0109691634389864,1.0109691634389866,1.0109691634389866,1.0109691634389866,10.269949840763198,2895.079384437742,6727.890953637167,0.5301788375080988,0.7609530822292098,0.8762702384200134,0.006569999999999965,0.5347668735608824,2223.0070600696326,6.24757115458282,32.904150887331035,2262.693548985107,True,False,False
-0.0072,-0.0072,0.0,1.0,1.0,0.315,1.0,1.0,1.0,1.0,10.38260259907672,2926.835983374479,6801.690289107283,0.5297498038588546,0.7606879137410921,0.8761225909176094,0.0,0.0,2222.2222222222226,5.535026856094648,32.86116290607792,2260.618411984395,True,False,False
-0.0072,-0.0072,0.01,1.000864,0.9993524196320784,0.31547645635967997,1.001080186603849,1.0010801866038488,1.0010801866038488,1.0010801866038488,10.371399552217243,2923.677865709972,6794.351122043404,0.5297921040691375,0.76071406323746,0.8761371523050774,0.0006479999999999819,0.005185791551708875,2222.229984131872,5.594802681359202,32.8653983716915,2260.6953709764744,True,False,False
-0.0072,-0.0072,0.03,1.002592,0.9980597718036138,0.31643042723711995,1.0032416790721568,1.0032416790721568,1.0032416790721568,1.003241679072157,10.349054286379946,2917.378777645433,6779.712636538184,0.5298767146229136,0.7607663649269812,0.8761662758060597,0.0019439999999999458,0.04670436980826484,2222.2918267742575,5.721259522642569,32.873872219951735,2260.93366288666,True,False,False
-0.0072,-0.0072,0.1,1.00864,0.9935617200540497,0.319780435968,1.0108186422880496,1.0108186422880499,1.0108186422880499,1.0108186422880496,10.271479140486635,2895.510491129653,6728.892804856909,0.5301729579881631,0.7609494491597957,0.876268215683406,0.006480000000000041,0.5201912042523473,2222.9858958229142,6.236217013933565,32.90356133502037,2262.6458653761206,True,False,False
-0.0071,-0.0071,0.0,1.0,1.0,0.315,1.0,1.0,1.0,1.0,10.38260259907672,2926.835983374479,6801.690289107283,0.5297498038588546,0.7606879137410921,0.8761225909176094,0.0,0.0,2222.2222222222226,5.535026856094648,32.86116290607792,2260.618411984395,True,False,False
-0.0071,-0.0071,0.01,1.000852,0.9993614080602494,0.31546983649482,1.0010651814566771,1.001065181456677,1.0010651814566771,1.001065181456677,10.371555011002096,2923.721689246611,6794.452963801974,0.5297915165430874,0.7607137000438549,0.8761369500619275,0.0006390000000000562,0.0050427179362157164,2222.2297702106084,5.593956692858379,32.86533953912236,2260.6941091605254,True,False,False
-0.0071,-0.0071,0.03,1.002556,0.9980866678577168,0.31641053845337996,1.0031966327624988,1.003196632762499,1.0031966327624988,1.0031966327624988,10.349518987604847,2917.50977603948,6780.017064428835,0.5298749517652254,0.7607652752717732,0.8761656690565818,0.0019169999999999465,0.04541538230347193,2222.289911846254,5.718531154193925,32.873695641769366,2260.9275540245208,True,False,False
-0.0071,-0.0071,0.1,1.00852,0.9936505728395554,0.31971379948199996,1.010668128313885,1.0106681283138852,1.0106681283138852,1.0106681283138852,10.273008822785568,2895.94170566887,6729.894906703605,0.5301670785334295,0.7609458161077273,0.8762661929514678,0.006389999999999896,0.5058176076511902,2222.965015665619,6.224907044309774,32.902971801493926,2262.598712119074,True,False,False
-0.007,-0.007,0.0,1.0,1.0,0.315,1.0,1.0,1.0,1.0,10.38260259907672,2926.835983374479,6801.690289107283,0.5297498038588546,0.7606879137410921,0.8761225909176094,0.0,0.0,2222.2222222222226,5.535026856094648,32.86116290607792,2260.618411984395,True,False,False
-0.007,-0.007,0.01,1.00084,0.9993703966501105,0.315463216698,1.0010501763814819,1.0010501763814816,1.0010501763814819,1.0010501763814816,10.371710473701674,2923.765513886804,6794.554808125108,0.5297909290176889,0.760713336850423,0.8761367478188242,0.0006299999999999084,0.004901646365431555,2222.2295592732835,5.593111148458213,32.86528070674076,2260.692852774848,True,False,False
